mq_count	mapQuality	ext	s1	s2	density
15937	32	chelex	sanger1	sanger2	100
18220	34	chelex	sanger1	sanger2	100
20866	35	chelex	sanger1	sanger2	100
21130	44	chelex	sanger1	sanger2	100
24469	56	chelex	sanger1	sanger2	100
25326	20	chelex	sanger1	sanger2	100
25473	59	chelex	sanger1	sanger2	100
26529	38	chelex	sanger1	sanger2	100
26714	47	chelex	sanger1	sanger2	100
27560	53	chelex	sanger1	sanger2	100
29445	37	chelex	sanger1	sanger2	100
31206	51	chelex	sanger1	sanger2	100
33392	36	chelex	sanger1	sanger2	100
33947	41	chelex	sanger1	sanger2	100
34296	22	chelex	sanger1	sanger2	100
34768	23	chelex	sanger1	sanger2	100
34858	42	chelex	sanger1	sanger2	100
35581	50	chelex	sanger1	sanger2	100
36629	55	chelex	sanger1	sanger2	100
40172	57	chelex	sanger1	sanger2	100
40552	49	chelex	sanger1	sanger2	100
43915	39	chelex	sanger1	sanger2	100
44815	48	chelex	sanger1	sanger2	100
45508	26	chelex	sanger1	sanger2	100
45544	29	chelex	sanger1	sanger2	100
45796	54	chelex	sanger1	sanger2	100
49340	25	chelex	sanger1	sanger2	100
50215	8	chelex	sanger1	sanger2	100
55833	28	chelex	sanger1	sanger2	100
56260	24	chelex	sanger1	sanger2	100
58031	27	chelex	sanger1	sanger2	100
64042	43	chelex	sanger1	sanger2	100
67165	10	chelex	sanger1	sanger2	100
69107	30	chelex	sanger1	sanger2	100
70041	11	chelex	sanger1	sanger2	100
75937	45	chelex	sanger1	sanger2	100
78080	31	chelex	sanger1	sanger2	100
90704	17	chelex	sanger1	sanger2	100
97063	14	chelex	sanger1	sanger2	100
99288	13	chelex	sanger1	sanger2	100
106061	15	chelex	sanger1	sanger2	100
116344	16	chelex	sanger1	sanger2	100
127992	33	chelex	sanger1	sanger2	100
143725	12	chelex	sanger1	sanger2	100
158477	18	chelex	sanger1	sanger2	100
167927	58	chelex	sanger1	sanger2	100
172726	19	chelex	sanger1	sanger2	100
204969	2	chelex	sanger1	sanger2	100
213025	5	chelex	sanger1	sanger2	100
240134	1	chelex	sanger1	sanger2	100
254797	3	chelex	sanger1	sanger2	100
267066	4	chelex	sanger1	sanger2	100
270010	21	chelex	sanger1	sanger2	100
414102	6	chelex	sanger1	sanger2	100
454656	7	chelex	sanger1	sanger2	100
473316	52	chelex	sanger1	sanger2	100
748679	9	chelex	sanger1	sanger2	100
1422844	46	chelex	sanger1	sanger2	100
4548111	40	chelex	sanger1	sanger2	100
27567006	60	chelex	sanger1	sanger2	100
65579758	0	chelex	sanger1	sanger2	100
19593	32	chelex	sanger1	sanger2	1K
21438	34	chelex	sanger1	sanger2	1K
24085	38	chelex	sanger1	sanger2	1K
24086	35	chelex	sanger1	sanger2	1K
27812	20	chelex	sanger1	sanger2	1K
28222	44	chelex	sanger1	sanger2	1K
32041	56	chelex	sanger1	sanger2	1K
32200	37	chelex	sanger1	sanger2	1K
32304	41	chelex	sanger1	sanger2	1K
32967	23	chelex	sanger1	sanger2	1K
33637	47	chelex	sanger1	sanger2	1K
34129	53	chelex	sanger1	sanger2	1K
35070	36	chelex	sanger1	sanger2	1K
35582	22	chelex	sanger1	sanger2	1K
36500	42	chelex	sanger1	sanger2	1K
36841	26	chelex	sanger1	sanger2	1K
37169	59	chelex	sanger1	sanger2	1K
37356	51	chelex	sanger1	sanger2	1K
37432	29	chelex	sanger1	sanger2	1K
38111	50	chelex	sanger1	sanger2	1K
42995	55	chelex	sanger1	sanger2	1K
43293	28	chelex	sanger1	sanger2	1K
44081	57	chelex	sanger1	sanger2	1K
45556	49	chelex	sanger1	sanger2	1K
47284	25	chelex	sanger1	sanger2	1K
47502	8	chelex	sanger1	sanger2	1K
48952	39	chelex	sanger1	sanger2	1K
53632	43	chelex	sanger1	sanger2	1K
54495	11	chelex	sanger1	sanger2	1K
55271	24	chelex	sanger1	sanger2	1K
55623	10	chelex	sanger1	sanger2	1K
58449	27	chelex	sanger1	sanger2	1K
58666	30	chelex	sanger1	sanger2	1K
60535	31	chelex	sanger1	sanger2	1K
60963	48	chelex	sanger1	sanger2	1K
61541	54	chelex	sanger1	sanger2	1K
63659	45	chelex	sanger1	sanger2	1K
64226	17	chelex	sanger1	sanger2	1K
64640	14	chelex	sanger1	sanger2	1K
72815	13	chelex	sanger1	sanger2	1K
77720	15	chelex	sanger1	sanger2	1K
78080	16	chelex	sanger1	sanger2	1K
95371	33	chelex	sanger1	sanger2	1K
102699	12	chelex	sanger1	sanger2	1K
108949	18	chelex	sanger1	sanger2	1K
109712	58	chelex	sanger1	sanger2	1K
112364	19	chelex	sanger1	sanger2	1K
137146	2	chelex	sanger1	sanger2	1K
138018	5	chelex	sanger1	sanger2	1K
163916	1	chelex	sanger1	sanger2	1K
166821	21	chelex	sanger1	sanger2	1K
169592	3	chelex	sanger1	sanger2	1K
170990	4	chelex	sanger1	sanger2	1K
255108	6	chelex	sanger1	sanger2	1K
267972	52	chelex	sanger1	sanger2	1K
268482	7	chelex	sanger1	sanger2	1K
430669	9	chelex	sanger1	sanger2	1K
764451	46	chelex	sanger1	sanger2	1K
2633547	40	chelex	sanger1	sanger2	1K
35177685	0	chelex	sanger1	sanger2	1K
43164674	60	chelex	sanger1	sanger2	1K
9952	32	chelex	sof1	sanger1	100
11267	44	chelex	sof1	sanger1	100
11803	34	chelex	sof1	sanger1	100
12289	59	chelex	sof1	sanger1	100
13067	35	chelex	sof1	sanger1	100
14580	56	chelex	sof1	sanger1	100
15121	47	chelex	sof1	sanger1	100
15849	53	chelex	sof1	sanger1	100
18233	38	chelex	sof1	sanger1	100
18361	20	chelex	sof1	sanger1	100
18836	51	chelex	sof1	sanger1	100
19403	37	chelex	sof1	sanger1	100
21753	48	chelex	sof1	sanger1	100
23334	36	chelex	sof1	sanger1	100
23571	55	chelex	sof1	sanger1	100
23965	54	chelex	sof1	sanger1	100
24351	22	chelex	sof1	sanger1	100
24486	50	chelex	sof1	sanger1	100
25016	23	chelex	sof1	sanger1	100
25666	42	chelex	sof1	sanger1	100
25977	41	chelex	sof1	sanger1	100
26543	49	chelex	sof1	sanger1	100
27239	39	chelex	sof1	sanger1	100
28931	57	chelex	sof1	sanger1	100
35781	26	chelex	sof1	sanger1	100
36813	25	chelex	sof1	sanger1	100
38024	29	chelex	sof1	sanger1	100
39689	8	chelex	sof1	sanger1	100
42001	24	chelex	sof1	sanger1	100
42876	27	chelex	sof1	sanger1	100
47659	28	chelex	sof1	sanger1	100
55057	10	chelex	sof1	sanger1	100
56213	11	chelex	sof1	sanger1	100
56518	43	chelex	sof1	sanger1	100
58851	30	chelex	sof1	sanger1	100
67351	45	chelex	sof1	sanger1	100
69150	31	chelex	sof1	sanger1	100
81267	14	chelex	sof1	sanger1	100
83664	13	chelex	sof1	sanger1	100
84628	17	chelex	sof1	sanger1	100
91923	15	chelex	sof1	sanger1	100
108897	16	chelex	sof1	sanger1	100
114304	33	chelex	sof1	sanger1	100
129138	12	chelex	sof1	sanger1	100
145777	18	chelex	sof1	sanger1	100
169363	19	chelex	sof1	sanger1	100
170869	58	chelex	sof1	sanger1	100
184635	2	chelex	sof1	sanger1	100
204494	5	chelex	sof1	sanger1	100
221614	1	chelex	sof1	sanger1	100
234376	3	chelex	sof1	sanger1	100
254325	4	chelex	sof1	sanger1	100
273536	21	chelex	sof1	sanger1	100
398332	6	chelex	sof1	sanger1	100
445253	7	chelex	sof1	sanger1	100
507515	52	chelex	sof1	sanger1	100
765850	9	chelex	sof1	sanger1	100
1534854	46	chelex	sof1	sanger1	100
4821334	40	chelex	sof1	sanger1	100
11933605	60	chelex	sof1	sanger1	100
73141464	0	chelex	sof1	sanger1	100
16115	32	chelex	sof1	sanger1	1K
17942	34	chelex	sof1	sanger1	1K
19889	35	chelex	sof1	sanger1	1K
21830	38	chelex	sof1	sanger1	1K
21920	44	chelex	sof1	sanger1	1K
24427	20	chelex	sof1	sanger1	1K
25691	56	chelex	sof1	sanger1	1K
26961	47	chelex	sof1	sanger1	1K
27648	37	chelex	sof1	sanger1	1K
27660	59	chelex	sof1	sanger1	1K
28165	53	chelex	sof1	sanger1	1K
30498	23	chelex	sof1	sanger1	1K
31142	41	chelex	sof1	sanger1	1K
31338	51	chelex	sof1	sanger1	1K
31520	36	chelex	sof1	sanger1	1K
31755	22	chelex	sof1	sanger1	1K
34003	42	chelex	sof1	sanger1	1K
34235	50	chelex	sof1	sanger1	1K
36814	55	chelex	sof1	sanger1	1K
36978	26	chelex	sof1	sanger1	1K
38719	29	chelex	sof1	sanger1	1K
39166	49	chelex	sof1	sanger1	1K
39624	57	chelex	sof1	sanger1	1K
40325	39	chelex	sof1	sanger1	1K
44698	25	chelex	sof1	sanger1	1K
45242	8	chelex	sof1	sanger1	1K
46178	28	chelex	sof1	sanger1	1K
46689	48	chelex	sof1	sanger1	1K
47593	54	chelex	sof1	sanger1	1K
51713	24	chelex	sof1	sanger1	1K
54071	27	chelex	sof1	sanger1	1K
55565	11	chelex	sof1	sanger1	1K
55627	10	chelex	sof1	sanger1	1K
57756	43	chelex	sof1	sanger1	1K
61087	30	chelex	sof1	sanger1	1K
66492	31	chelex	sof1	sanger1	1K
68380	45	chelex	sof1	sanger1	1K
71924	14	chelex	sof1	sanger1	1K
75605	17	chelex	sof1	sanger1	1K
78638	13	chelex	sof1	sanger1	1K
85494	15	chelex	sof1	sanger1	1K
93985	16	chelex	sof1	sanger1	1K
105253	33	chelex	sof1	sanger1	1K
