GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	sample
23332839	30.576375	74.384489	11	10	0.095402	0	0.001159	0.078003	0.309321	0.000072	0.483959	0.888465	0.692235	0.525452	0.419529	0.347003	0.293729	0.252988	0.195746	0.156478	0.127771	0.106393	0.090016	0.077255	0.067212	0.801699	7	w2-rep1-Chelex-100-Sanger-S10
23332839	3.276038	14.970964	2	2	0.441254	0	0.000939	0.045979	0.219908	0.00046	0.70854	0.741728	0.235677	0.05872	0.019622	0.009122	0.005434	0.003743	0.00212	0.001407	0.001051	0.000837	0.000692	0.000578	0.0005	0.517562	3	w2-rep1-Chelex-100-Sof-S14
23332839	63.648785	79.889089	41	30	0.053824	0	0.000952	0.072022	0.31489	0.000015	0.441702	0.929566	0.879959	0.826417	0.769395	0.712325	0.657283	0.605291	0.511752	0.432003	0.365556	0.309837	0.263527	0.225035	0.193008	0.902462	10	w2-rep1-Chelex-1K-Sanger-S9
23332839	26.944868	33.732126	18	12	0.102404	0	0.001803	0.066386	0.313065	0.000087	0.483745	0.925931	0.835526	0.711839	0.587071	0.476538	0.385049	0.311438	0.206588	0.141694	0.100366	0.072857	0.054067	0.04087	0.031239	0.88434	9	w2-rep1-Chelex-1K-Sof-S13
23332839	52.23123	241.585385	2	2	0.053557	0	0.0004	0.068778	0.335316	0.000259	0.45831	0.660541	0.408841	0.322559	0.275447	0.243804	0.219898	0.201225	0.173678	0.15383	0.138137	0.125576	0.114902	0.105889	0.098184	0.509392	3	w2-rep1-Qiagen-100-Sanger
23332839	43.796385	186.378279	3	3	0.068123	0	0.000702	0.076594	0.307582	0.000044	0.453044	0.730139	0.439028	0.321928	0.26552	0.230127	0.205184	0.186337	0.158274	0.138287	0.123198	0.111262	0.10151	0.093167	0.086112	0.574158	4	w2-rep1-Qiagen-100-Sof
23332839	79.747407	195.127306	28	25	0.044922	0	0.00055	0.06687	0.315568	0.000073	0.427983	0.905755	0.807832	0.715139	0.640562	0.579047	0.527681	0.483359	0.411087	0.356285	0.312761	0.27774	0.248412	0.223502	0.202354	0.840164	8	w2-rep1-Qiagen-1K-Sanger
23332839	82.253947	207.551577	28	25	0.033002	0	0.000654	0.071753	0.308219	0	0.413628	0.914304	0.814398	0.721225	0.646044	0.583469	0.53134	0.487608	0.418132	0.365309	0.322048	0.286554	0.256742	0.231712	0.210282	0.84895	8	w2-rep1-Qiagen-1K-Sof
23332839	42.818902	93.007336	14	12	0.088762	0	0.000851	0.072103	0.320406	0.000053	0.482175	0.899248	0.734848	0.586002	0.486696	0.416646	0.364315	0.323429	0.261889	0.21663	0.183063	0.157554	0.137282	0.120888	0.107149	0.823002	8	w2-rep2-Chelex-100-Sanger-S10
23332839	9.194774	23.615783	4	3	0.227247	0	0.001902	0.058709	0.273208	0.000235	0.561301	0.826365	0.463342	0.249281	0.154506	0.105671	0.077183	0.059228	0.038685	0.027499	0.020337	0.015492	0.012224	0.009869	0.008086	0.663713	5	w2-rep2-Chelex-100-Sof-S14
23332839	56.796263	74.568272	36	26	0.049989	0	0.000992	0.074091	0.318021	0.000015	0.443108	0.92825	0.874746	0.814253	0.751021	0.687406	0.625555	0.567164	0.46516	0.382752	0.317193	0.264681	0.222099	0.187562	0.159082	0.89923	10	w2-rep2-Chelex-1K-Sanger-S9
23332839	41.328011	52.450787	26	18	0.078921	0	0.00156	0.074122	0.311983	0.000057	0.466643	0.930849	0.863231	0.777986	0.688823	0.603619	0.52614	0.457813	0.347344	0.266432	0.208287	0.165463	0.133645	0.109342	0.090442	0.898131	10	w2-rep2-Chelex-1K-Sof-S13
