total	mapped	paired	sample
67128327	55139747	50054588	100-Che-R-Sang-3-S17
60661680	43948071	40728626	100-Che-R-Sang-4-S18
42930839	12941876	12385900	100-Che-R-Sof-3-S15
72637777	26485943	25118578	100-Che-R-Sof-4-S16
45854655	45381775	41209054	1000-Qia-M-Sof-1-S7
54077456	53517354	48587546	1000-Qia-M-Sof-2-S9
52952585	10125065	9972808	1000-Qia-M-rWGA-1-S11
56397148	10935824	10757930	1000-Qia-M-rWGA-2-S13
147156	5790	5664	50ul-H20-1-S19
40594	3507	3434	50ul-H20-2-S20
60927557	9726388	9527772	Neg-Che-R-Sang-1-S5
61438481	9738571	9558780	Neg-Che-R-Sang-2-S6
48077441	7800791	7654336	Neg-Che-R-Sof-1-S1
73540132	12193481	11968190	Neg-Che-R-Sof-2-S2
22938987	19434359	19219666	Neg-Qia-M-Sof-1-S8
43816145	29919562	28536942	Neg-Qia-M-Sof-2-S10
50699512	9068628	8954044	Neg-Qia-M-rWGA-1-S12
53159209	9370291	9220726	Neg-Qia-M-rWGA-2-S14
51603663	30867918	28981736	Neg-Qia-R-Sang-1-S3
42264999	28300466	24998650	Neg-Qia-R-Sang-2-S4
43265812	15308492	13342572	Undetermined-S0
