DEPTH	COUNT	SAMPLE_NAME
0	19665576	chelex-100-JP_sanger
1	3002034	chelex-100-JP_sanger
2	496459	chelex-100-JP_sanger
3	94486	chelex-100-JP_sanger
4	27962	chelex-100-JP_sanger
5	13100	chelex-100-JP_sanger
6	7657	chelex-100-JP_sanger
7	4897	chelex-100-JP_sanger
8	3353	chelex-100-JP_sanger
9	2916	chelex-100-JP_sanger
10	2057	chelex-100-JP_sanger
11	1616	chelex-100-JP_sanger
12	1235	chelex-100-JP_sanger
13	972	chelex-100-JP_sanger
14	1007	chelex-100-JP_sanger
15	774	chelex-100-JP_sanger
16	488	chelex-100-JP_sanger
17	536	chelex-100-JP_sanger
18	469	chelex-100-JP_sanger
19	404	chelex-100-JP_sanger
20	367	chelex-100-JP_sanger
21	328	chelex-100-JP_sanger
22	239	chelex-100-JP_sanger
23	239	chelex-100-JP_sanger
24	225	chelex-100-JP_sanger
25	195	chelex-100-JP_sanger
26	144	chelex-100-JP_sanger
27	84	chelex-100-JP_sanger
28	117	chelex-100-JP_sanger
29	125	chelex-100-JP_sanger
30	133	chelex-100-JP_sanger
31	154	chelex-100-JP_sanger
32	102	chelex-100-JP_sanger
33	123	chelex-100-JP_sanger
34	110	chelex-100-JP_sanger
35	124	chelex-100-JP_sanger
36	75	chelex-100-JP_sanger
37	74	chelex-100-JP_sanger
38	83	chelex-100-JP_sanger
39	95	chelex-100-JP_sanger
40	49	chelex-100-JP_sanger
41	55	chelex-100-JP_sanger
42	52	chelex-100-JP_sanger
43	69	chelex-100-JP_sanger
44	85	chelex-100-JP_sanger
45	42	chelex-100-JP_sanger
46	39	chelex-100-JP_sanger
47	60	chelex-100-JP_sanger
48	61	chelex-100-JP_sanger
49	55	chelex-100-JP_sanger
50	47	chelex-100-JP_sanger
51	46	chelex-100-JP_sanger
52	40	chelex-100-JP_sanger
53	27	chelex-100-JP_sanger
54	18	chelex-100-JP_sanger
55	26	chelex-100-JP_sanger
56	21	chelex-100-JP_sanger
57	18	chelex-100-JP_sanger
58	39	chelex-100-JP_sanger
59	84	chelex-100-JP_sanger
60	63	chelex-100-JP_sanger
61	24	chelex-100-JP_sanger
62	12	chelex-100-JP_sanger
63	13	chelex-100-JP_sanger
64	13	chelex-100-JP_sanger
65	10	chelex-100-JP_sanger
66	18	chelex-100-JP_sanger
67	25	chelex-100-JP_sanger
68	18	chelex-100-JP_sanger
69	23	chelex-100-JP_sanger
70	20	chelex-100-JP_sanger
71	17	chelex-100-JP_sanger
72	11	chelex-100-JP_sanger
73	11	chelex-100-JP_sanger
74	14	chelex-100-JP_sanger
75	23	chelex-100-JP_sanger
76	23	chelex-100-JP_sanger
77	9	chelex-100-JP_sanger
78	11	chelex-100-JP_sanger
79	6	chelex-100-JP_sanger
80	4	chelex-100-JP_sanger
81	3	chelex-100-JP_sanger
82	7	chelex-100-JP_sanger
83	8	chelex-100-JP_sanger
84	1	chelex-100-JP_sanger
85	0	chelex-100-JP_sanger
86	3	chelex-100-JP_sanger
87	2	chelex-100-JP_sanger
88	13	chelex-100-JP_sanger
89	8	chelex-100-JP_sanger
90	13	chelex-100-JP_sanger
91	19	chelex-100-JP_sanger
92	15	chelex-100-JP_sanger
93	9	chelex-100-JP_sanger
94	18	chelex-100-JP_sanger
95	28	chelex-100-JP_sanger
96	18	chelex-100-JP_sanger
97	5	chelex-100-JP_sanger
98	6	chelex-100-JP_sanger
99	4	chelex-100-JP_sanger
100	4	chelex-100-JP_sanger
101	6	chelex-100-JP_sanger
102	7	chelex-100-JP_sanger
103	9	chelex-100-JP_sanger
104	10	chelex-100-JP_sanger
105	12	chelex-100-JP_sanger
106	5	chelex-100-JP_sanger
107	6	chelex-100-JP_sanger
108	7	chelex-100-JP_sanger
109	0	chelex-100-JP_sanger
110	1	chelex-100-JP_sanger
111	0	chelex-100-JP_sanger
112	0	chelex-100-JP_sanger
113	2	chelex-100-JP_sanger
114	0	chelex-100-JP_sanger
115	0	chelex-100-JP_sanger
116	0	chelex-100-JP_sanger
117	1	chelex-100-JP_sanger
118	0	chelex-100-JP_sanger
119	1	chelex-100-JP_sanger
120	1	chelex-100-JP_sanger
121	0	chelex-100-JP_sanger
122	0	chelex-100-JP_sanger
123	1	chelex-100-JP_sanger
124	0	chelex-100-JP_sanger
125	1	chelex-100-JP_sanger
126	1	chelex-100-JP_sanger
127	0	chelex-100-JP_sanger
128	0	chelex-100-JP_sanger
129	1	chelex-100-JP_sanger
130	1	chelex-100-JP_sanger
131	0	chelex-100-JP_sanger
132	0	chelex-100-JP_sanger
133	2	chelex-100-JP_sanger
134	3	chelex-100-JP_sanger
135	9	chelex-100-JP_sanger
136	9	chelex-100-JP_sanger
137	4	chelex-100-JP_sanger
138	4	chelex-100-JP_sanger
139	2	chelex-100-JP_sanger
140	4	chelex-100-JP_sanger
141	10	chelex-100-JP_sanger
142	3	chelex-100-JP_sanger
143	3	chelex-100-JP_sanger
144	0	chelex-100-JP_sanger
145	1	chelex-100-JP_sanger
146	1	chelex-100-JP_sanger
147	0	chelex-100-JP_sanger
148	0	chelex-100-JP_sanger
149	0	chelex-100-JP_sanger
150	0	chelex-100-JP_sanger
151	0	chelex-100-JP_sanger
152	0	chelex-100-JP_sanger
153	0	chelex-100-JP_sanger
154	0	chelex-100-JP_sanger
155	0	chelex-100-JP_sanger
156	0	chelex-100-JP_sanger
157	0	chelex-100-JP_sanger
158	0	chelex-100-JP_sanger
159	0	chelex-100-JP_sanger
160	0	chelex-100-JP_sanger
161	0	chelex-100-JP_sanger
162	0	chelex-100-JP_sanger
163	0	chelex-100-JP_sanger
164	0	chelex-100-JP_sanger
165	0	chelex-100-JP_sanger
166	0	chelex-100-JP_sanger
167	0	chelex-100-JP_sanger
168	1	chelex-100-JP_sanger
169	0	chelex-100-JP_sanger
170	0	chelex-100-JP_sanger
171	1	chelex-100-JP_sanger
172	0	chelex-100-JP_sanger
173	0	chelex-100-JP_sanger
174	1	chelex-100-JP_sanger
175	0	chelex-100-JP_sanger
176	0	chelex-100-JP_sanger
177	0	chelex-100-JP_sanger
178	0	chelex-100-JP_sanger
179	0	chelex-100-JP_sanger
180	0	chelex-100-JP_sanger
181	0	chelex-100-JP_sanger
182	0	chelex-100-JP_sanger
183	1	chelex-100-JP_sanger
184	0	chelex-100-JP_sanger
185	1	chelex-100-JP_sanger
186	1	chelex-100-JP_sanger
187	0	chelex-100-JP_sanger
188	0	chelex-100-JP_sanger
189	2	chelex-100-JP_sanger
190	1	chelex-100-JP_sanger
191	0	chelex-100-JP_sanger
192	0	chelex-100-JP_sanger
193	0	chelex-100-JP_sanger
194	0	chelex-100-JP_sanger
195	0	chelex-100-JP_sanger
196	0	chelex-100-JP_sanger
197	0	chelex-100-JP_sanger
198	1	chelex-100-JP_sanger
199	2	chelex-100-JP_sanger
200	4	chelex-100-JP_sanger
201	1	chelex-100-JP_sanger
202	0	chelex-100-JP_sanger
203	3	chelex-100-JP_sanger
204	2	chelex-100-JP_sanger
205	2	chelex-100-JP_sanger
206	3	chelex-100-JP_sanger
207	3	chelex-100-JP_sanger
208	0	chelex-100-JP_sanger
209	1	chelex-100-JP_sanger
210	0	chelex-100-JP_sanger
211	0	chelex-100-JP_sanger
212	0	chelex-100-JP_sanger
213	0	chelex-100-JP_sanger
214	0	chelex-100-JP_sanger
