GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE_NAME
23332821	0.141651	0.632924	0	0	0.491927	0	0.085659	0.031497	0.102445	0.003057	0.714584	0.115021	0.000745	0.000221	0.000123	0.000073	0.00005	0.000034	0.000016	0.000008	0.000005	0.000003	0.000003	0.000003	0.000003	0.043241	0	chelex-100-JP
23332821	0.069521	0.580884	0	0	0.587598	0	0.102379	0.024563	0.091122	0.004986	0.810649	0.05447	0.0008	0.000233	0.000123	0.000079	0.000053	0.000036	0.000019	0.00001	0.000006	0.000006	0.000004	0.000003	0.000003	0.020407	0	chelex-100-sanger
23332821	0.262607	1.184091	0	0	0.543223	0	0.101643	0.027409	0.090708	0.004502	0.767485	0.18802	0.002832	0.000909	0.000469	0.0003	0.000216	0.000161	0.000111	0.000078	0.000055	0.000041	0.00003	0.000023	0.000018	0.073584	0	chelex-100-sanger_sof_jp
23332821	0.121411	0.802851	0	0	0.583433	0	0.114173	0.024205	0.081507	0.004917	0.808235	0.091559	0.0015	0.00045	0.000237	0.00015	0.000115	0.000088	0.00005	0.00003	0.000022	0.000017	0.000011	0.000006	0.000006	0.035198	0	chelex-100-sanger_sof
23332821	0.052287	0.457765	0	0	0.577682	0	0.130453	0.023711	0.068236	0.003328	0.80341	0.043805	0.000383	0.000113	0.000055	0.000031	0.000019	0.00001	0.000004	0.000003	0.000003	0.000003	0.000002	0.000002	0.000002	0.016571	0	chelex-100-sof
23332821	0.043491	0.573339	0	0	0.657742	0	0.12062	0.020017	0.068355	0.005795	0.872529	0.029132	0.000829	0.000242	0.000131	0.000086	0.000054	0.000037	0.000022	0.000014	0.00001	0.000007	0.000005	0.000003	0.000003	0.011614	0	chelex-10-JP
23332821	0.871282	1.224037	0	0	0.250319	0	0.021886	0.048437	0.163655	0.000534	0.484832	0.495146	0.0114	0.000392	0.000219	0.000088	0.000036	0.000018	0.000006	0.000005	0.000003	0.000003	0.000003	0.000002	0.000002	0.223538	1	chelex-10K-JP
23332821	0.696133	1.095654	0	0	0.277155	0	0.025477	0.047236	0.156289	0.000684	0.506841	0.435045	0.005148	0.000418	0.000288	0.000137	0.000059	0.000024	0.000009	0.000004	0.000003	0.000003	0.000002	0.000002	0.000002	0.185025	1	chelex-10K-sanger
23332821	2.139696	2.356492	2	2	0.271599	0	0.024758	0.046986	0.160405	0.000941	0.504689	0.721455	0.135264	0.004473	0.000731	0.000513	0.00043	0.000386	0.000292	0.000158	0.000064	0.000031	0.000023	0.000017	0.000015	0.441271	3	chelex-10K-sanger_sof_jp
23332821	1.268824	1.636445	1	1	0.28529	0	0.026606	0.046052	0.158314	0.001047	0.517309	0.600743	0.033455	0.000857	0.000474	0.000392	0.000324	0.000227	0.000082	0.000029	0.000018	0.000014	0.000009	0.000005	0.000003	0.301154	2	chelex-10K-sanger_sof
