VARIANT_TYPE	TRUTH_SAMPLE	CALL_SAMPLE	HET_SENSITIVITY	HET_PPV	HET_SPECIFICITY	HOMVAR_SENSITIVITY	HOMVAR_PPV	HOMVAR_SPECIFICITY	VAR_SENSITIVITY	VAR_PPV	VAR_SPECIFICITY	GENOTYPE_CONCORDANCE	NON_REF_GENOTYPE_CONCORDANCE
SNP	fcr3	1000-Che-M-Sang-1	0.585799	0.397101	?	0.691081	0.674242	?	0.689535	0.666219	0.998183	0.996018	0.470439
SNP	U51	1000-Che-M-Sang-1	0.784173	0.684211	?	0.983416	0.987561	?	0.979013	0.978857	0.999879	0.999456	0.90983
SNP	fcr3	1000-Che-M-Sang-2	0.590062	0.401163	?	0.690298	0.674939	?	0.688899	0.667031	0.998189	0.996038	0.471792
SNP	U51	1000-Che-M-Sang-2	0.709559	0.659218	?	0.982663	0.987604	?	0.976748	0.978228	0.999875	0.99943	0.905557
SNP	fcr3	1000-Che-M-Sof-1	0.576471	0.412104	?	0.691754	0.674417	?	0.690058	0.666806	0.99818	0.99603	0.472554
SNP	U51	1000-Che-M-Sof-1	0.735632	0.670423	?	0.982669	0.986856	?	0.977556	0.977944	0.999873	0.999443	0.907945
SNP	fcr3	1000-Che-M-Sof-2	0.539394	0.453704	?	0.692375	0.674948	?	0.69019	0.668933	0.998198	0.996042	0.473194
SNP	U51	1000-Che-M-Sof-2	0.730337	0.721713	?	0.983634	0.987513	?	0.978271	0.980604	0.999889	0.999471	0.912287
SNP	fcr3	1000-Che-R-Sang-1	0.580838	0.403561	?	0.689166	0.674421	?	0.687587	0.666695	0.998202	0.996023	0.468826
SNP	U51	1000-Che-R-Sang-1	0.714844	0.649123	?	0.981992	0.986959	?	0.976509	0.977685	0.999873	0.999395	0.899752
SNP	fcr3	1000-Che-R-Sang-2	0.559006	0.414557	?	0.690753	0.67656	?	0.688899	0.669527	0.998224	0.996047	0.47066
SNP	U51	1000-Che-R-Sang-2	0.721311	0.671875	?	0.981863	0.987823	?	0.976748	0.979664	0.999885	0.99938	0.897276
SNP	fcr3	1000-Che-R-Sof-1	0.596591	0.381201	?	0.690707	0.676887	?	0.689269	0.667367	0.998193	0.996034	0.470987
SNP	U51	1000-Che-R-Sof-1	0.749049	0.669192	?	0.9807	0.987792	?	0.975843	0.977714	0.999873	0.999397	0.900308
SNP	fcr3	1000-Che-R-Sof-2	0.559524	0.396739	?	0.689312	0.677507	?	0.687419	0.668779	0.998209	0.996035	0.470306
SNP	U51	1000-Che-R-Sof-2	0.717557	0.685484	?	0.980371	0.988603	?	0.97488	0.979567	0.999884	0.99941	0.902176
SNP	fcr3	1000-Qia-M-Sang-1	0.557576	0.378472	?	0.690062	0.675745	?	0.688121	0.668363	0.998244	0.99602	0.465488
