na	pc_error	n_sites	s1	s2
ERR	0.519289	15086	100-Che-M-Sang-1	10-Che-M-Sof-1
ERR	0.518067	15083	100-Che-M-Sang-2	10-Che-M-Sof-1
ERR	0.054791	15112	100-Che-M-Sang-2	100-Che-M-Sang-1
ERR	0.525928	15080	100-Che-M-Sof-1	10-Che-M-Sof-1
ERR	0.046264	15109	100-Che-M-Sof-1	100-Che-M-Sang-1
ERR	0.047862	15106	100-Che-M-Sof-1	100-Che-M-Sang-2
ERR	0.130663	15077	100-Che-M-Sof-2	10-Che-M-Sof-1
ERR	0.492419	15103	100-Che-M-Sof-2	100-Che-M-Sang-1
ERR	0.488013	15100	100-Che-M-Sof-2	100-Che-M-Sang-2
ERR	0.491687	15097	100-Che-M-Sof-2	100-Che-M-Sof-1
ERR	0.504376	15082	100-Che-R-Sang-1	10-Che-M-Sof-1
ERR	0.069817	15111	100-Che-R-Sang-1	100-Che-M-Sang-1
ERR	0.069235	15108	100-Che-R-Sang-1	100-Che-M-Sang-2
ERR	0.068714	15106	100-Che-R-Sang-1	100-Che-M-Sof-1
ERR	0.487185	15099	100-Che-R-Sang-1	100-Che-M-Sof-2
ERR	0.507129	15079	100-Che-R-Sang-2	10-Che-M-Sof-1
ERR	0.061623	15108	100-Che-R-Sang-2	100-Che-M-Sang-1
ERR	0.063754	15105	100-Che-R-Sang-2	100-Che-M-Sang-2
ERR	0.062045	15102	100-Che-R-Sang-2	100-Che-M-Sof-1
ERR	0.487546	15096	100-Che-R-Sang-2	100-Che-M-Sof-2
ERR	0.071107	15104	100-Che-R-Sang-2	100-Che-R-Sang-1
ERR	0.514685	15083	100-Che-R-Sof-1	10-Che-M-Sof-1
ERR	0.060416	15112	100-Che-R-Sof-1	100-Che-M-Sang-1
ERR	0.057714	15109	100-Che-R-Sof-1	100-Che-M-Sang-2
ERR	0.052562	15106	100-Che-R-Sof-1	100-Che-M-Sof-1
ERR	0.483775	15100	100-Che-R-Sof-1	100-Che-M-Sof-2
ERR	0.073339	15108	100-Che-R-Sof-1	100-Che-R-Sang-1
ERR	0.064085	15105	100-Che-R-Sof-1	100-Che-R-Sang-2
ERR	0.508286	15086	100-Che-R-Sof-2	10-Che-M-Sof-1
ERR	0.058816	15115	100-Che-R-Sof-2	100-Che-M-Sang-1
ERR	0.060217	15112	100-Che-R-Sof-2	100-Che-M-Sang-2
ERR	0.058971	15109	100-Che-R-Sof-2	100-Che-M-Sof-1
ERR	0.484804	15103	100-Che-R-Sof-2	100-Che-M-Sof-2
ERR	0.071471	15111	100-Che-R-Sof-2	100-Che-R-Sang-1
ERR	0.063079	15108	100-Che-R-Sof-2	100-Che-R-Sang-2
ERR	0.058960	15112	100-Che-R-Sof-2	100-Che-R-Sof-1
ERR	0.508750	15086	100-Qia-M-Sang-1	10-Che-M-Sof-1
ERR	0.232683	15115	100-Qia-M-Sang-1	100-Che-M-Sang-1
ERR	0.229420	15112	100-Qia-M-Sang-1	100-Che-M-Sang-2
ERR	0.234761	15109	100-Qia-M-Sang-1	100-Che-M-Sof-1
ERR	0.530888	15103	100-Qia-M-Sang-1	100-Che-M-Sof-2
ERR	0.224208	15111	100-Qia-M-Sang-1	100-Che-R-Sang-1
ERR	0.227959	15108	100-Qia-M-Sang-1	100-Che-R-Sang-2
ERR	0.235111	15112	100-Qia-M-Sang-1	100-Che-R-Sof-1
ERR	0.227588	15115	100-Qia-M-Sang-1	100-Che-R-Sof-2
ERR	0.519064	15081	100-Qia-M-Sang-2	10-Che-M-Sof-1
ERR	0.226539	15110	100-Qia-M-Sang-2	100-Che-M-Sang-1
ERR	0.225194	15107	100-Qia-M-Sang-2	100-Che-M-Sang-2
ERR	0.229740	15104	100-Qia-M-Sang-2	100-Che-M-Sof-1
ERR	0.541727	15098	100-Qia-M-Sang-2	100-Che-M-Sof-2
ERR	0.223487	15106	100-Qia-M-Sang-2	100-Che-R-Sang-1
ERR	0.218831	15103	100-Qia-M-Sang-2	100-Che-R-Sang-2
ERR	0.225796	15111	100-Qia-M-Sang-2	100-Che-R-Sof-1
ERR	0.224950	15110	100-Qia-M-Sang-2	100-Che-R-Sof-2
ERR	0.284778	15110	100-Qia-M-Sang-2	100-Qia-M-Sang-1
ERR	0.143635	15059	100-Qia-M-Sof-1	10-Che-M-Sof-1
ERR	0.513291	15085	100-Qia-M-Sof-1	100-Che-M-Sang-1
ERR	0.511603	15082	100-Qia-M-Sof-1	100-Che-M-Sang-2
ERR	0.516944	15079	100-Qia-M-Sof-1	100-Che-M-Sof-1
ERR	0.076214	15076	100-Qia-M-Sof-1	100-Che-M-Sof-2
ERR	0.501492	15083	100-Qia-M-Sof-1	100-Che-R-Sang-1
ERR	0.502653	15078	100-Qia-M-Sof-1	100-Che-R-Sang-2
ERR	0.504973	15082	100-Qia-M-Sof-1	100-Che-R-Sof-1
ERR	0.502751	15085	100-Qia-M-Sof-1	100-Che-R-Sof-2
ERR	0.521511	15085	100-Qia-M-Sof-1	100-Qia-M-Sang-1
ERR	0.535875	15080	100-Qia-M-Sof-1	100-Qia-M-Sang-2
ERR	0.510545	15078	100-Qia-M-Sof-2	10-Che-M-Sof-1
ERR	0.161515	15107	100-Qia-M-Sof-2	100-Che-M-Sang-1
ERR	0.165056	15104	100-Qia-M-Sof-2	100-Che-M-Sang-2
ERR	0.160387	15101	100-Qia-M-Sof-2	100-Che-M-Sof-1
ERR	0.511560	15095	100-Qia-M-Sof-2	100-Che-M-Sof-2
ERR	0.162286	15103	100-Qia-M-Sof-2	100-Che-R-Sang-1
ERR	0.163102	15101	100-Qia-M-Sof-2	100-Che-R-Sang-2
ERR	0.166115	15104	100-Qia-M-Sof-2	100-Che-R-Sof-1
ERR	0.159860	15107	100-Qia-M-Sof-2	100-Che-R-Sof-2
ERR	0.254584	15107	100-Qia-M-Sof-2	100-Qia-M-Sang-1
ERR	0.261157	15102	100-Qia-M-Sof-2	100-Qia-M-Sang-2
ERR	0.513033	15077	100-Qia-M-Sof-2	100-Qia-M-Sof-1
ERR	0.503217	15077	100-Qia-R-Sang-1	10-Che-M-Sof-1
ERR	0.180843	15107	100-Qia-R-Sang-1	100-Che-M-Sang-1
ERR	0.183341	15103	100-Qia-R-Sang-1	100-Che-M-Sang-2
ERR	0.190662	15100	100-Qia-R-Sang-1	100-Che-M-Sof-1
ERR	0.518948	15094	100-Qia-R-Sang-1	100-Che-M-Sof-2
ERR	0.177460	15102	100-Qia-R-Sang-1	100-Che-R-Sang-1
ERR	0.171535	15099	100-Qia-R-Sang-1	100-Che-R-Sang-2
ERR	0.182829	15107	100-Qia-R-Sang-1	100-Che-R-Sof-1
ERR	0.179929	15106	100-Qia-R-Sang-1	100-Che-R-Sof-2
ERR	0.259566	15106	100-Qia-R-Sang-1	100-Qia-M-Sang-1
ERR	0.244224	15105	100-Qia-R-Sang-1	100-Qia-M-Sang-2
ERR	0.509485	15076	100-Qia-R-Sang-1	100-Qia-M-Sof-1
ERR	0.219433	15098	100-Qia-R-Sang-1	100-Qia-M-Sof-2
ERR	0.505669	15081	100-Qia-R-Sang-2	10-Che-M-Sof-1
ERR	0.167902	15110	100-Qia-R-Sang-2	100-Che-M-Sang-1
ERR	0.164096	15107	100-Qia-R-Sang-2	100-Che-M-Sang-2
ERR	0.172338	15104	100-Qia-R-Sang-2	100-Che-M-Sof-1
ERR	0.509008	15098	100-Qia-R-Sang-2	100-Che-M-Sof-2
ERR	0.158083	15106	100-Qia-R-Sang-2	100-Che-R-Sang-1
ERR	0.163279	15103	100-Qia-R-Sang-2	100-Che-R-Sang-2
ERR	0.166082	15107	100-Qia-R-Sang-2	100-Che-R-Sof-1
ERR	0.161152	15110	100-Qia-R-Sang-2	100-Che-R-Sof-2
ERR	0.255129	15110	100-Qia-R-Sang-2	100-Qia-M-Sang-1
ERR	0.255545	15105	100-Qia-R-Sang-2	100-Qia-M-Sang-2
ERR	0.513196	15080	100-Qia-R-Sang-2	100-Qia-M-Sof-1
ERR	0.227188	15102	100-Qia-R-Sang-2	100-Qia-M-Sof-2
ERR	0.215946	15101	100-Qia-R-Sang-2	100-Qia-R-Sang-1
ERR	0.507392	15083	100-Qia-R-Sof-1	10-Che-M-Sof-1
ERR	0.143131	15112	100-Qia-R-Sof-1	100-Che-M-Sang-1
ERR	0.142763	15109	100-Qia-R-Sof-1	100-Che-M-Sang-2
ERR	0.145042	15106	100-Qia-R-Sof-1	100-Che-M-Sof-1
ERR	0.508411	15100	100-Qia-R-Sof-1	100-Che-M-Sof-2
ERR	0.142838	15108	100-Qia-R-Sof-1	100-Che-R-Sang-1
ERR	0.141278	15105	100-Qia-R-Sof-1	100-Che-R-Sang-2
ERR	0.140115	15109	100-Qia-R-Sof-1	100-Che-R-Sof-1
ERR	0.137507	15112	100-Qia-R-Sof-1	100-Che-R-Sof-2
ERR	0.252316	15112	100-Qia-R-Sof-1	100-Qia-M-Sang-1
ERR	0.244324	15107	100-Qia-R-Sof-1	100-Qia-M-Sang-2
ERR	0.516112	15082	100-Qia-R-Sof-1	100-Qia-M-Sof-1
ERR	0.207031	15104	100-Qia-R-Sof-1	100-Qia-M-Sof-2
ERR	0.213203	15103	100-Qia-R-Sof-1	100-Qia-R-Sang-1
ERR	0.209373	15107	100-Qia-R-Sof-1	100-Qia-R-Sang-2
ERR	0.508620	15082	100-Qia-R-Sof-2	10-Che-M-Sof-1
ERR	0.149428	15111	100-Qia-R-Sof-2	100-Che-M-Sang-1
ERR	0.148001	15108	100-Qia-R-Sof-2	100-Che-M-Sang-2
ERR	0.147567	15105	100-Qia-R-Sof-2	100-Che-M-Sof-1
ERR	0.512550	15099	100-Qia-R-Sof-2	100-Che-M-Sof-2
ERR	0.145495	15107	100-Qia-R-Sof-2	100-Che-R-Sang-1
ERR	0.148040	15104	100-Qia-R-Sof-2	100-Che-R-Sang-2
ERR	0.145883	15108	100-Qia-R-Sof-2	100-Che-R-Sof-1
ERR	0.144133	15111	100-Qia-R-Sof-2	100-Che-R-Sof-2
ERR	0.251472	15111	100-Qia-R-Sof-2	100-Qia-M-Sang-1
ERR	0.237058	15106	100-Qia-R-Sof-2	100-Qia-M-Sang-2
ERR	0.518865	15081	100-Qia-R-Sof-2	100-Qia-M-Sof-1
ERR	0.220486	15103	100-Qia-R-Sof-2	100-Qia-M-Sof-2
ERR	0.206992	15102	100-Qia-R-Sof-2	100-Qia-R-Sang-1
ERR	0.202569	15106	100-Qia-R-Sof-2	100-Qia-R-Sang-2
ERR	0.185519	15109	100-Qia-R-Sof-2	100-Qia-R-Sof-1
ERR	0.531101	15080	1000-Che-M-Sang-1	10-Che-M-Sof-1
ERR	0.046661	15109	1000-Che-M-Sang-1	100-Che-M-Sang-1
ERR	0.042169	15106	1000-Che-M-Sang-1	100-Che-M-Sang-2
ERR	0.036748	15103	1000-Che-M-Sang-1	100-Che-M-Sof-1
ERR	0.492085	15097	1000-Che-M-Sang-1	100-Che-M-Sof-2
ERR	0.066799	15105	1000-Che-M-Sang-1	100-Che-R-Sang-1
ERR	0.062243	15102	1000-Che-M-Sang-1	100-Che-R-Sang-2
ERR	0.050973	15106	1000-Che-M-Sang-1	100-Che-R-Sof-1
ERR	0.055265	15109	1000-Che-M-Sang-1	100-Che-R-Sof-2
ERR	0.238401	15109	1000-Che-M-Sang-1	100-Qia-M-Sang-1
ERR	0.229145	15104	1000-Che-M-Sang-1	100-Qia-M-Sang-2
ERR	0.520061	15079	1000-Che-M-Sang-1	100-Qia-M-Sof-1
ERR	0.163764	15101	1000-Che-M-Sang-1	100-Qia-M-Sof-2
ERR	0.191589	15100	1000-Che-M-Sang-1	100-Qia-R-Sang-1
ERR	0.170683	15104	1000-Che-M-Sang-1	100-Qia-R-Sang-2
ERR	0.144578	15106	1000-Che-M-Sang-1	100-Qia-R-Sof-1
ERR	0.147501	15105	1000-Che-M-Sang-1	100-Qia-R-Sof-2
ERR	0.530633	15082	1000-Che-M-Sang-2	10-Che-M-Sof-1
ERR	0.046655	15111	1000-Che-M-Sang-2	100-Che-M-Sang-1
