total	mapped_falc	mapped_human	density	extraction	digest	swga	rep
158523714	134967962	7288028	1000	Qia	R	Sof	2
170523076	144070516	7095358	1000	Qia	R	Sof	1
159819282	131475318	4742345	1000	Qia	R	Sang	2
103527382	81990750	5034020	1000	Qia	R	Sang	1
121073738	110304065	813627	1000	Qia	M	Sof	2
124608604	111964695	855888	1000	Qia	M	Sof	1
132799852	120540806	2099650	1000	Qia	M	Sang	2
146357412	133138312	1741136	1000	Qia	M	Sang	1
108084428	71098810	26393914	1000	Che	R	Sof	2
150647216	97389212	38202241	1000	Che	R	Sof	1
102676032	66334967	24271567	1000	Che	R	Sang	2
184335568	120838401	41414998	1000	Che	R	Sang	1
75261188	65788688	2497979	1000	Che	M	Sof	2
103970766	90287111	3246856	1000	Che	M	Sof	1
113311166	99599022	4655471	1000	Che	M	Sang	2
140538588	122483777	4861717	1000	Che	M	Sang	1
166885554	108460124	11211444	100	Qia	R	Sang	2
221987090	159633572	11979649	100	Qia	R	Sang	1
142019252	127082083	13972529	100	Qia	M	Sof	2
48752988	41831595	15773905	100	Qia	M	Sof	2
86958532	74231013	2839538	100	Qia	M	Sof	1
38205544	32399418	2310035	100	Qia	M	Sof	1
248082672	223688346	5288067	100	Qia	M	Sang	2
136611216	122739666	2604093	100	Qia	M	Sang	1
174929428	69569132	83639931	100	Che	R	Sof	2
140816930	65432659	58604045	100	Che	R	Sof	1
129204930	59376841	48580428	100	Che	R	Sang	2
93458506	34375104	41086333	100	Che	R	Sang	1
48746858	36446609	9083066	100	Che	M	Sof	2
56506862	41308458	11535569	100	Che	M	Sof	1
115997328	98165874	6913840	100	Che	M	Sang	2
222900394	185615449	12220209	100	Che	M	Sang	1
24081298	1719508	20855746	10	Che	R	Sof	2
23340968	1189019	20561826	10	Che	R	Sof	1
61666834	20968835	36772289	10	Che	M	Sof	2
98333550	35677520	35677520	10	Che	M	Sof	1
112865098	81275623	11979649	100	Qia	R	Sof	1
108569324	71065794	11211444	100	Qia	R	Sof	2
