GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	density	extraction	digest	swga	rep
20782073	117.72923	90.642793	92	69	0	0.066696	0	0.020948	0.0268	0.303803	0.252642	0.670889	0.984245	0.959545	0.925255	0.890225	0.855325	0.821464	0.788919	0.728082	0.673862	0.625721	0.581997	0.542839	0.507459	0.475948	0.976268	16	1000	Che	M	Sang	1
20782073	118.062899	90.607875	93	70	0	0.061393	0	0.018198	0.027279	0.318983	0.238572	0.664425	0.983875	0.958841	0.924626	0.889613	0.855431	0.821734	0.789522	0.730136	0.676322	0.627427	0.583828	0.54526	0.510555	0.478866	0.975796	16	1000	Che	M	Sang	2
20782073	131.942992	91.129538	116	85	0	0.067516	0	0.024735	0.027039	0.274576	0.248361	0.642227	0.986263	0.969732	0.945379	0.918703	0.891268	0.863443	0.836132	0.784164	0.735762	0.691471	0.650771	0.613165	0.578287	0.546313	0.980677	17	1000	Che	M	Sof	1
20782073	127.83186	90.621258	109	80	0	0.065956	0	0.021528	0.027395	0.302915	0.223043	0.640838	0.985671	0.966997	0.93997	0.911078	0.88232	0.853767	0.825917	0.772533	0.722783	0.676981	0.635424	0.597265	0.56176	0.529006	0.979644	17	1000	Che	M	Sof	2
20782073	97.20714	83.859454	68	49	0	0.075807	0	0.020833	0.028728	0.313415	0.186707	0.62549	0.982601	0.95114	0.907545	0.863326	0.81971	0.77767	0.737015	0.662643	0.597836	0.541222	0.491701	0.448627	0.410954	0.377593	0.972599	16	1000	Che	R	Sang	1
20782073	97.738024	84.257737	68	50	0	0.074329	0	0.022164	0.030213	0.307879	0.190656	0.625242	0.982074	0.94974	0.906102	0.861158	0.817136	0.77495	0.735248	0.663111	0.599723	0.543396	0.494489	0.452392	0.414625	0.380984	0.971682	15	1000	Che	R	Sang	2
20782073	106.740714	83.723302	82	56	0	0.071537	0	0.021646	0.029576	0.310314	0.152044	0.585119	0.98456	0.962852	0.931996	0.898603	0.863532	0.827888	0.792896	0.726702	0.665742	0.608584	0.556794	0.509804	0.467273	0.428952	0.977532	16	1000	Che	R	Sof	1
20782073	103.090765	82.816797	78	54	0	0.070043	0	0.018243	0.026806	0.333977	0.13854	0.58761	0.98401	0.959691	0.92513	0.888978	0.85164	0.814997	0.778642	0.709903	0.647045	0.590488	0.539251	0.492875	0.450773	0.412799	0.976576	16	1000	Che	R	Sof	2
20782073	99.848366	93.917804	61	53	0	0.062861	0	0.016849	0.027553	0.311452	0.31106	0.729774	0.972165	0.910055	0.841633	0.783742	0.734471	0.692899	0.656384	0.595888	0.545972	0.504265	0.468827	0.438155	0.411664	0.387894	0.952608	13	1000	Qia	M	Sang	1
20782073	98.520194	93.528136	60	52	0	0.062671	0	0.017607	0.02744	0.30532	0.324528	0.737567	0.970806	0.903407	0.833605	0.776865	0.729057	0.687405	0.650787	0.589566	0.540494	0.500261	0.465465	0.43479	0.407368	0.38292	0.949527	13	1000	Qia	M	Sang	2
