totalReads	mapped	paired	extraction	density	swga	run
19471955	2782009	2711414	saponin-chelex	100	10AD	run1
14576980	1573617	1496262	saponin-chelex	100	6A10AD	run1
15919854	2284387	2157044	saponin-chelex	10000	10AD	run1
15576985	2229953	2114974	saponin-chelex	10000	6A10AD	run1
19965123	2907499	2831152	saponin-chelex	10	10AD	run1
15752565	2110113	2048938	saponin-chelex	10	6A10AD	run1
16786863	2425791	2353912	saponin-chelex	1000	10AD	run1
17017134	2215278	2143218	saponin-chelex	1000	6A10AD	run1
19397143	12422309	11563538	QIAmp	100	10AD	run1
16589129	10604947	9994984	QIAmp	100	6A10AD	run1
18298483	16496285	15276466	QIAmp	10000	10AD	run1
17166376	15569317	14453636	QIAmp	10000	6A10AD	run1
17345818	11267989	10648872	QIAmp	10	10AD	run1
13066626	7365952	6951096	QIAmp	10	6A10AD	run1
18287336	14551656	13542958	QIAmp	1000	10AD	run1
12959951	9572851	9005074	QIAmp	1000	6A10AD	run1
7320139	5013431	4802692	QIAmp-Inv	100	10AD	run1
13966812	10497520	9786704	QIAmp-Inv	100	6A10AD	run1
15735904	14161606	13018590	QIAmp-Inv	10000	10AD	run1
15332077	13836056	12825104	QIAmp-Inv	10000	6A10AD	run1
10198049	6999211	6782296	QIAmp-Inv	10	10AD	run1
15514001	7875768	7486662	QIAmp-Inv	10	6A10AD	run1
13568119	8880671	8230960	QIAmp-Inv	1000	10AD	run1
15794195	11879922	11076760	QIAmp-Inv	1000	6A10AD	run1
55950527	26043436	24957482	tween-chelex	100	10AD	run2
42351006	10932364	10691982	tween-chelex	100	6A10AD	run2
51884657	13351636	13137018	tween-chelex	10	10AD	run2
49390610	10757564	10653178	tween-chelex	10	6A10AD	run2
38843289	24673335	23270540	tween-chelex	1000	10AD	run2
52336176	22636872	21701824	tween-chelex	1000	6A10AD	run2
41286225	29491417	28732972	QIAmp	100	10AD	run2
59656723	30117705	28785416	QIAmp	100	6A10AD	run2
54057912	30000059	29563242	QIAmp	10	10AD	run2
46827512	14152931	13814034	QIAmp	10	6A10AD	run2
43479185	37658247	35422600	QIAmp	1000	10AD	run2
40448612	34949430	32572970	QIAmp	1000	6A10AD	run2
51994731	46778053	43665168	QIAmp-Inv	1000	10AD	run2
