err	errorRate	nSites	sample_i	sample_j
ERR	0.177430	84856	100-Che-M-Sang-1	10-Che-M-Sof-1
ERR	0.176733	84851	100-Che-M-Sang-2	10-Che-M-Sof-1
ERR	0.082435	84903	100-Che-M-Sang-2	100-Che-M-Sang-1
ERR	0.184596	84850	100-Che-M-Sof-1	10-Che-M-Sof-1
ERR	0.085768	84903	100-Che-M-Sof-1	100-Che-M-Sang-1
ERR	0.085221	84897	100-Che-M-Sof-1	100-Che-M-Sang-2
ERR	0.106422	84804	100-Che-M-Sof-2	10-Che-M-Sof-1
ERR	0.182292	84853	100-Che-M-Sof-2	100-Che-M-Sang-1
ERR	0.180440	84848	100-Che-M-Sof-2	100-Che-M-Sang-2
ERR	0.187809	84847	100-Che-M-Sof-2	100-Che-M-Sof-1
ERR	0.178513	84851	100-Che-R-Sang-1	10-Che-M-Sof-1
ERR	0.091316	84903	100-Che-R-Sang-1	100-Che-M-Sang-1
ERR	0.090284	84899	100-Che-R-Sang-1	100-Che-M-Sang-2
ERR	0.096504	84898	100-Che-R-Sang-1	100-Che-M-Sof-1
ERR	0.185638	84848	100-Che-R-Sang-1	100-Che-M-Sof-2
ERR	0.177187	84854	100-Che-R-Sang-2	10-Che-M-Sof-1
ERR	0.087838	84906	100-Che-R-Sang-2	100-Che-M-Sang-1
ERR	0.086819	84901	100-Che-R-Sang-2	100-Che-M-Sang-2
ERR	0.092320	84900	100-Che-R-Sang-2	100-Che-M-Sof-1
ERR	0.183475	84851	100-Che-R-Sang-2	100-Che-M-Sof-2
ERR	0.093250	84901	100-Che-R-Sang-2	100-Che-R-Sang-1
ERR	0.183951	84854	100-Che-R-Sof-1	10-Che-M-Sof-1
ERR	0.091796	84906	100-Che-R-Sof-1	100-Che-M-Sang-1
ERR	0.090835	84901	100-Che-R-Sof-1	100-Che-M-Sang-2
ERR	0.095206	84900	100-Che-R-Sof-1	100-Che-M-Sof-1
ERR	0.188153	84851	100-Che-R-Sof-1	100-Che-M-Sof-2
ERR	0.099398	84901	100-Che-R-Sof-1	100-Che-R-Sang-1
ERR	0.095202	84904	100-Che-R-Sof-1	100-Che-R-Sang-2
ERR	0.182396	84854	100-Che-R-Sof-2	10-Che-M-Sof-1
ERR	0.092938	84906	100-Che-R-Sof-2	100-Che-M-Sang-1
ERR	0.092237	84901	100-Che-R-Sof-2	100-Che-M-Sang-2
ERR	0.097550	84900	100-Che-R-Sof-2	100-Che-M-Sof-1
ERR	0.188672	84851	100-Che-R-Sof-2	100-Che-M-Sof-2
ERR	0.099763	84901	100-Che-R-Sof-2	100-Che-R-Sang-1
ERR	0.095496	84904	100-Che-R-Sof-2	100-Che-R-Sang-2
ERR	0.099830	84904	100-Che-R-Sof-2	100-Che-R-Sof-1
