total	mapping	paired	density	extraction	digest	swga	rep
143118038	2434275	335614	1000	Che	M	Sang	1
115227206	2279546	488402	1000	Che	M	Sang	2
106011094	1987317	628392	1000	Che	M	Sof	1
76709566	1294729	21408	1000	Che	M	Sof	2
187959578	21926734	2608	1000	Che	R	Sang	1
104636582	12605264	8394	1000	Che	R	Sang	2
153677594	21024429	1516142	1000	Che	R	Sof	1
109923920	13227601	2759500	1000	Che	R	Sof	2
148969942	698885	32778	1000	Qia	M	Sang	1
135107800	875689	130202	1000	Qia	M	Sang	2
126950624	384515	96896	1000	Qia	M	Sof	1
123149864	340319	740	1000	Qia	M	Sof	2
106056828	2384237	502258	1000	Qia	R	Sang	1
163820436	2419755	934300	1000	Qia	R	Sang	2
174177456	3826769	414	1000	Qia	R	Sof	1
161242554	3315839	1051892	1000	Qia	R	Sof	2
227356890	6042734	4302	100	Che	M	Sang	1
118005886	3498801	62	100	Che	M	Sang	2
115531174	4084538	408	100	Che	M	Sof	1
120637356	42011092	284268	100	Che	M	Sof	2
95561558	19772264	94440	100	Che	R	Sang	1
131366580	24852762	247396	100	Che	R	Sang	2
143063096	31469835	1509784	100	Che	R	Sof	1
177494358	43682594	8917090	100	Che	R	Sof	2
139311920	1091650	109210	100	Qia	M	Sang	1
252213328	2163061	154492	100	Qia	M	Sang	2
21993168	117353	40	100	Qia	M	Sof	1
144448094	681284	123672	100	Qia	M	Sof	2
226878984	6205238	5340	100	Qia	R	Sang	1
170486788	5086974	546894	100	Qia	R	Sang	2
114905360	6343995	353374	100	Qia	R	Sof	1
110741240	5005070	222982	100	Qia	R	Sof	2
