total	mapped	paired	density	ext	swga	rep
51639118	18102578	17614396	100	Che	Sang	1
47544880	11955073	11603182	100	Che	Sang	2
58553894	12145246	11744088	100	Che	Sof	1
64169146	19042849	18516254	100	Che	Sof	2
48931848	18304314	17459320	100	Qia	Sang	1
51382272	17437929	16781320	100	Qia	Sang	2
40442500	20489228	19645856	100	Qia	Sof	1
33631610	15954421	15546146	100	Qia	Sof	2
49402810	22019044	21269908	1000	Che	Sang	1
49524292	23124748	22461634	1000	Che	Sang	2
53209576	24667688	23897206	1000	Che	Sof	1
54134278	22900364	22173854	1000	Che	Sof	2
45212282	31333397	30072276	1000	Qia	Sang	1
46950178	31431282	30216304	1000	Qia	Sang	2
28487330	21285191	20417044	1000	Qia	Sof	1
47904630	34799771	33635994	1000	Qia	Sof	2
