total	mapped	paired	pcPaired	sample
150282	123338	119868	0.79762	100-Che-M-Sang-1.bam
90308	75592	73558	0.814524	100-Che-M-Sang-2.bam
93792	76054	73202	0.780472	100-Che-M-Sof-1.bam
104684	83	78	0.0007451	100-Che-M-Sof-2.bam
87728	31311	30384	0.346343	100-Che-Sang-1.bam
127318	57780	56020	0.440001	100-Che-Sang-2.bam
130328	61099	59556	0.45697	100-Che-Sof-1.bam
162348	64419	62682	0.386097	100-Che-Sof-2.bam
128218	113006	110352	0.860659	100-Qia-M-Sang-1.bam
199914	177227	173282	0.866783	100-Qia-M-Sang-2.bam
16840	15180	14600	0.866983	100-Qia-M-Sof-1.bam
140920	123974	120830	0.857437	100-Qia-M-Sof-2.bam
181684	128379	124490	0.685201	100-Qia-Sang-1.bam
163324	103775	100412	0.614802	100-Qia-Sang-2.bam
116528	83206	80366	0.689671	100-Qia-Sof-1.bam
97372	62716	60684	0.623218	100-Qia-Sof-2.bam
109226	93732	90964	0.832805	1k-Che-M-Sang-1.bam
91422	79322	77434	0.846995	1k-Che-M-Sang-2.bam
84714	72434	69860	0.824657	1k-Che-M-Sof-1.bam
72540	62531	60616	0.835622	1k-Che-M-Sof-2.bam
170368	110330	107046	0.628322	1k-Che-Sang-1.bam
100764	63893	61884	0.614148	1k-Che-Sang-2.bam
122434	78870	76628	0.625872	1k-Che-Sof-1.bam
108204	71178	69400	0.641381	1k-Che-Sof-2.bam
121100	108524	105896	0.874451	1k-Qia-M-Sang-1.bam
121542	108190	105514	0.868128	1k-Qia-M-Sang-2.bam
99298	88020	85378	0.859816	1k-Qia-M-Sof-1.bam
104978	94572	92166	0.877955	1k-Qia-M-Sof-2.bam
84686	65554	63182	0.746074	1k-Qia-Sang-1.bam
128268	103801	99806	0.778105	1k-Qia-Sang-2.bam
125214	104172	100608	0.803488	1k-Qia-Sof-1.bam
141270	118775	115644	0.818603	1k-Qia-Sof-2.bam
26092	14814	14292	0.547754	7C1-100.bam
13270	1012	936	0.070535	7C1-10.bam
103582	80809	78270	0.755633	7C1-10k.bam
91010	58771	57044	0.626788	7C1-1k.bam
28312	13668	13114	0.463196	DC3-100.bam
171528	31136	30078	0.175353	DC3-10.bam
146020	103861	101406	0.694467	DC3-10k.bam
90956	59637	58130	0.6391	DC3-1k.bam
176566	70514	68812	0.389724	DC4-100.bam
172128	41429	40348	0.234407	DC4-10.bam
165810	128081	125124	0.754623	DC4-10k.bam
121910	80749	78850	0.646789	DC4-1k.bam
114010	38528	37682	0.330515	DC5-100.bam
34692	9484	9190	0.264903	DC5-10.bam
137834	103291	100836	0.731576	DC5-10k.bam
153114	105378	102892	0.671996	DC5-1k.bam
196172	57	56	0.000285464	Negative-1.bam
156958	45	40	0.000254845	Negative-2.bam
162248	92	86	0.000530053	Neg-Che-Sang-1.bam
133690	59	52	0.00038896	Neg-Che-Sang-2.bam
36506	1999	1814	0.0496905	Neg-Qia-Sang-1.bam
60662	4651	4464	0.0735881	Neg-Qia-Sang-2.bam
134356	58379	56848	0.423115	QC1-100.bam
38106	1209	1196	0.0313861	QC1-10.bam
107758	83461	81508	0.756399	QC1-10k.bam
128786	73871	72296	0.561365	QC1-1k.bam
145340	75560	73560	0.506124	QC2-100.bam
33648	2007	1982	0.0589039	QC2-10.bam
105490	83039	81052	0.768338	QC2-10k.bam
90648	56844	55000	0.606743	QC2-1k.bam
152744	118598	115924	0.758943	SS1-10k.bam
124638	95668	93418	0.749515	SS2-10k.bam
113056	82725	80696	0.71377	SS3-10k.bam
83948	33917	32758	0.390218	SS4-10k.bam
84906	24703	23606	0.278025	SS5-10k.bam
129832	97087	94114	0.724891	SS6-10k.bam
38540	21882	21256	0.551531	SS7-10k.bam
118374	63627	61858	0.522564	TC1-100.bam
138482	52844	51312	0.370532	TC1-10.bam
98164	77054	74962	0.76364	TC1-10k.bam
130852	86659	84594	0.646486	TC1-1k.bam
180306	92775	90408	0.501414	TC2-100.bam
117762	12998	12740	0.108184	TC2-10.bam
133400	106130	103364	0.774843	TC2-10k.bam
140640	94342	91804	0.652759	TC2-1k.bam
96800	47448	46320	0.478512	TC5-100.bam
132588	45233	44128	0.33282	TC5-10.bam
157996	125073	122098	0.772792	TC5-10k.bam
117860	71521	69792	0.59216	TC5-1k.bam
1690976	885803	835526	0.494109	Undetermined.bam
