total	mapped	paired	plate	sampleName
74026	39189	27268	bn1	1106666165
107324	50286	34776	bn1	1117532950
117902	60064	42958	bn1	1147452927
72050	42328	31212	bn1	1147453268
84312	46031	33300	bn1	1148499593
83510	48899	36226	bn1	1148499595
185442	89722	60222	bn1	1148499596
182494	97283	69550	bn1	1148499600
112630	52014	33156	bn1	1148499601
92250	40315	28136	bn1	1148499609
103958	54324	39172	bn1	1148499619
114486	61360	44238	bn1	1148499620
98584	56354	40584	bn1	1148499630
143454	79231	57528	bn1	1148499642
111058	60494	43812	bn1	1148499643
115904	62914	47824	bn1	1148499654
143272	68802	47112	bn1	1148499657
115048	58005	41018	bn1	1148499659
80288	34353	25114	bn1	1148499670
91270	48082	34862	bn1	1148499674
74926	40289	30578	bn1	1148499677
110132	50547	31680	bn1	1148499683
88890	39724	28304	bn1	1148499752
142560	79007	58582	bn1	1148499781
90308	39043	27776	bn1	1148499783
101018	23373	15836	bn1	1148499799
157716	75524	54352	bn1	1148499800
80272	45747	33384	bn1	1148499806
674	382	284	bn1	1148499814
121134	58693	40104	bn1	1148499816
128662	49689	32926	bn1	1148499817
78884	42076	29978	bn1	1148499820
150860	74789	53714	bn1	1148499825
63322	32683	23006	bn1	1148499838
65266	20534	14064	bn1	1148499839
63270	34510	25356	bn1	1148499843
12	1	0	bn1	1148499855
98378	55529	40532	bn1	1148499857
174114	90918	65452	bn1	1148499865
107362	54798	38868	bn1	1148499866
91736	45357	33216	bn1	1148499867
59940	26658	15248	bn1	1148499883
128910	62924	45746	bn1	1148499885
65622	35513	23080	bn1	1148499897
98798	55513	42924	bn1	1148499904
89640	60304	47858	bn1	1148499918
110668	70842	55726	bn1	1148499937
77944	40260	30166	bn1	1148499953
94246	47272	34342	bn1	1148500020
66564	32849	22898	bn1	1148500086
87860	51055	37228	bn1	1148500107
146404	63273	43986	bn1	1148500181
98532	43559	27950	bn1	1148500211
64166	35179	25782	bn1	1148500212
25000	11656	8510	bn1	1148500240
108766	52066	37276	bn1	1148500256
97788	41781	28234	bn1	1148500454
83560	44993	32286	bn1	1148500457
111486	61189	43824	bn1	1148500468
55200	22471	15330	bn1	1148500503
50950	5144	3636	bn1	1148500512
127768	69287	50496	bn1	1148500514
163060	83474	57816	bn1	1148500516
96556	49745	35630	bn1	1148500523
76390	36896	27384	bn1	1148500532
53644	26295	17502	bn1	1148500543
295440	13755	9452	bn1	1149102597
4	0	0	bn1	1149102600
255958	24522	18848	bn1	1149103798
95622	18101	8984	bn1	1149103841
6	0	0	bn1	1149103986
290534	87782	68102	bn1	1149104054
151448	7450	5402	bn1	1149104225
299958	44149	34556	bn1	1149104510
263054	77881	57672	bn1	1149104616
176506	60870	44120	bn1	1149108373
317750	1599	1220	bn1	1149108471
4	0	0	bn1	1149108928
163448	8008	5934	bn1	1149108974
99202	0	0	bn1	NAMP1-NEG-10
98840	23305	15610	bn1	NAMP1-NEG-1
84980	30544	21248	bn1	NAMP1-NEG-11
162370	24	18	bn1	NAMP1-NEG-12
106304	16307	11188	bn1	NAMP1-NEG-2
88792	19629	13194	bn1	NAMP1-NEG-3
110638	29681	20114	bn1	NAMP1-NEG-4
94194	55614	41280	bn1	NAMP1-NEG-5
58190	0	0	bn1	NAMP1-NEG-6
77902	45269	33544	bn1	NAMP1-NEG-7
36288	0	0	bn1	NAMP1-NEG-8
91634	52447	38458	bn1	NAMP1-NEG-9
1918188	594095	391874	bn1	Undetermined
69028	25603	19828	m2	8025874336
93840	25504	19288	m2	8025874394
114196	38144	28444	m2	8025874838
103652	35774	26764	m2	8025874853
115736	31687	24088	m2	8025875150
94798	13646	10142	m2	8034210892
111636	3485	2526	m2	8034210893
108730	42760	32300	m2	8034210897
124150	7861	5754	m2	8034210905
72008	5697	4312	m2	8034210918
190410	37200	27928	m2	8034210919
90386	36981	28054	m2	8034210928
72924	28171	22380	m2	8034210934
98392	27752	20910	m2	8034210937
81840	26657	19864	m2	8034210952
110930	28750	21622	m2	8034210953
68542	20691	15932	m2	8034210960
93830	23458	18628	m2	8034210972
108316	5637	4034	m2	8034211010
78366	12185	8908	m2	8034211014
101032	10514	7576	m2	8034211045
105148	6087	4564	m2	8034211055
78778	19531	14392	m2	8034211081
81612	33061	25320	m2	8034211084
116342	3823	2748	m2	8034211100
106974	26141	19404	m2	8034211101
82298	4228	3112	m2	8034211106
100344	25301	18750	m2	8034211112
120476	5920	4232	m2	8034211114
114392	22317	16498	m2	8034211135
112652	38588	28264	m2	8034211137
59516	29657	22248	m2	8034211144
109284	14691	11038	m2	8034211170
43504	23571	17468	m2	8034211175
66428	32563	23982	m2	8034211176
79766	12635	9042	m2	8034211186
69424	19052	14510	m2	8034211187
100320	141	112	m2	8034211198
102918	26956	19708	m2	8034211201
107852	15493	11132	m2	8034211213
151618	28058	21098	m2	8034211228
120990	5400	4002	m2	8034211232
79570	31410	24108	m2	8034211234
59016	10871	7676	m2	8034211267
99494	8442	6036	m2	8034211268
152526	18054	13088	m2	8034211295
63630	22286	17036	m2	8034211302
81508	29674	22530	m2	8034211360
82934	28893	22458	m2	8034211363
78960	16470	11948	m2	8034211366
119952	17767	13292	m2	8034211368
93960	27349	20008	m2	8034211372
68216	21390	16178	m2	8034211380
87440	29569	22666	m2	8034211382
91826	370	244	m2	8034211395
94644	21474	16334	m2	8034211400
54424	31858	25274	m2	8034211416
84000	7003	5052	m2	8034211418
99836	15515	10982	m2	8034211434
122600	3037	2290	m2	8034211454
102526	23512	17360	m2	8034211469
52210	22302	16330	m2	8034211508
108452	20487	14620	m2	8034211535
104278	2712	2020	m2	8034211550
97262	15656	11322	m2	8034211552
111922	11811	8696	m2	8034211566
92950	23762	18488	m2	8034211570
96220	211	138	m2	8034211590
39300	19869	14288	m2	8034211592
64742	15723	11964	m2	8034211594
136876	30592	22586	m2	8034211606
104872	7301	5282	m2	8034211609
119492	30204	23140	m2	8034211613
90772	16551	12522	m2	8034211634
101456	19147	13314	m2	8034211644
77578	35837	25768	m2	8034211661
99410	24932	18236	m2	8034211667
118210	48244	34888	m2	8034211672
137306	30127	22404	m2	8034211675
110842	29264	22666	m2	8034211678
86302	14642	10900	m2	8034211682
145546	13209	9406	m2	8034211688
103722	8335	6224	m2	8034211692
33120	9095	6216	m2	8034211702
45186	19040	14352	m2	8034211714
75642	18902	13870	m2	8034211735
96938	12821	9986	m2	8034211744
64920	29348	21596	m2	8034211758
99878	10569	7434	m2	8034211776
84532	16868	12084	m2	8034211794
110906	1300	940	m2	8034211798
75764	24804	18774	m2	8034211820
39546	0	0	m2	Neg-moz-p2
1195556	128228	87700	m2	Undetermined
67492	44118	35508	m3	8034210876
137012	59763	47422	m3	8034210882
97912	41220	33646	m3	8034210884
3066	88	58	m3	8034210896
91728	38841	30610	m3	8034210964
77570	33505	25932	m3	8034210966
65610	32808	26108	m3	8034210987
98030	34219	28044	m3	8034211003
138372	36772	29846	m3	8034211015
93918	34693	27772	m3	8034211028
99930	42905	33448	m3	8034211035
111398	52762	42914	m3	8034211038
47768	16654	13218	m3	8034211043
71472	36263	29644	m3	8034211068
115208	52953	41872	m3	8034211072
278	153	112	m3	8034211078
81856	32046	25284	m3	8034211087
208	109	84	m3	8034211091
106664	20883	16862	m3	8034211118
73000	34021	27190	m3	8034211122
4454	2282	1758	m3	8034211127
154844	24578	20150	m3	8034211136
156766	72308	52350	m3	8034211146
143760	909	734	m3	8034211150
83026	25971	20714	m3	8034211162
74890	42522	32534	m3	8034211167
112072	41429	34002	m3	8034211189
78282	33215	23666	m3	8034211205
79822	52255	42290	m3	8034211207
80316	47525	37740	m3	8034211208
92108	31835	25532	m3	8034211215
102600	47918	37840	m3	8034211221
90474	58199	45134	m3	8034211233
123710	5282	4210	m3	8034211242
114958	24903	19952	m3	8034211245
122	9	8	m3	8034211248
107298	55522	43442	m3	8034211250
93306	16501	12940	m3	8034211254
98648	18458	14528	m3	8034211277
54766	26430	21406	m3	8034211279
70614	48779	37918	m3	8034211285
114208	45167	32122	m3	8034211289
113764	32007	21276	m3	8034211320
85256	43546	33962	m3	8034211343
104894	16889	13496	m3	8034211346
71662	25133	18090	m3	8034211358
84146	43682	33978	m3	8034211378
103688	37777	30342	m3	8034211392
87962	33672	27074	m3	8034211393
89330	48890	39104	m3	8034211403
91310	26070	20338	m3	8034211410
150378	873	718	m3	8034211413
77024	1	0	m3	8034211414
96862	43738	34242	m3	8034211417
80070	35408	28646	m3	8034211433
102890	48807	39152	m3	8034211442
84034	43914	34560	m3	8034211456
115992	31684	25500	m3	8034211487
99402	33509	26802	m3	8034211511
106174	4119	2838	m3	8034211518
87290	40499	32616	m3	8034211543
98316	40913	27548	m3	8034211559
136320	2008	1562	m3	8034211560
121592	27426	21620	m3	8034211563
50820	27815	19624	m3	8034211583
97694	20791	16656	m3	8034211614
140088	59253	43220	m3	8034211627
77754	48356	39186	m3	8034211636
78902	25333	19972	m3	8034211645
75184	46242	36010	m3	8034211659
111922	1158	946	m3	8034211663
131432	36831	30658	m3	8034211677
115362	18242	14766	m3	8034211685
99066	61586	49466	m3	8034211698
72542	27590	21562	m3	8034211699
94268	42601	34326	m3	8034211712
196	140	106	m3	8034211713
79834	50425	40356	m3	8034211719
93044	38554	30392	m3	8034211720
98594	29981	24198	m3	8034211736
96048	39986	31504	m3	8034211743
97050	47429	39276	m3	8034211761
89438	46027	36332	m3	8034211763
79432	37557	29630	m3	8034211771
93090	54745	43628	m3	8034211778
62394	29474	23506	m3	8034211780
2292	622	454	m3	8034211781
85742	40951	31652	m3	8034211783
109470	300	236	m3	8034211809
96614	42195	33666	m3	8034211812
100852	40027	31976	m3	8034211814
92476	41052	31996	m3	8034211818
2085118	418414	268256	m3	Undetermined
46644	29400	22276	m4	8034210877
69158	8791	6780	m4	8034210888
68588	40087	31902	m4	8034210903
140514	39445	31666	m4	8034210913
97960	34435	27680	m4	8034210924
65822	14021	11190	m4	8034210925
99920	27011	21412	m4	8034210936
73538	18250	14608	m4	8034210946
122158	24273	18914	m4	8034210961
67368	21959	17532	m4	8034210963
138286	37533	30488	m4	8034210965
103648	7688	6266	m4	8034210967
65334	31004	24506	m4	8034210996
63276	38954	30918	m4	8034211001
122140	1723	1348	m4	8034211029
55626	30224	23888	m4	8034211034
92834	29636	23638	m4	8034211047
79776	39205	31668	m4	8034211062
68918	41126	33088	m4	8034211067
45930	31783	26356	m4	8034211103
51334	27476	21020	m4	8034211111
49126	23966	18516	m4	8034211113
96040	38999	30840	m4	8034211133
109362	20658	16788	m4	8034211138
72012	35563	28174	m4	8034211139
110916	72446	59198	m4	8034211140
72104	27623	21400	m4	8034211163
54634	18885	14970	m4	8034211173
50184	34248	26690	m4	8034211199
60910	29768	23704	m4	8034211203
75916	41067	32272	m4	8034211204
70566	44456	34984	m4	8034211210
71356	26328	20742	m4	8034211236
53718	35822	28700	m4	8034211238
80160	28656	22462	m4	8034211241
102904	21635	16966	m4	8034211259
51084	28064	22034	m4	8034211266
82442	32315	25058	m4	8034211283
73290	31528	24736	m4	8034211296
84470	32366	25748	m4	8034211298
41728	9497	8394	m4	8034211303
55114	13448	10296	m4	8034211316
81170	21426	17086	m4	8034211318
47232	24068	18470	m4	8034211324
87818	13569	10802	m4	8034211329
109770	13510	10818	m4	8034211357
73516	16732	13198	m4	8034211361
78044	31674	25104	m4	8034211383
1302	252	176	m4	8034211390
54214	37620	29510	m4	8034211407
86538	58514	46636	m4	8034211430
32550	20854	16366	m4	8034211438
