sample	depth	pc_genome	combination	density
7C1-100	1	0.774695	7C1	100
7C1-10000	1	0.9903879999999999	7C1	10000
7C1-10	1	0.01085	7C1	10
7C1-1000	1	0.9852709999999999	7C1	1000
DC3-100	1	0.8203229999999999	DC3	100
DC3-10000	1	0.9891719999999999	DC3	10000
DC3-10	1	0.647331	DC3	10
DC3-1000	1	0.977448	DC3	1000
DC4-100	1	0.944428	DC4	100
DC4-10000	1	0.9903290000000001	DC4	10000
DC4-10	1	0.475379	DC4	10
DC4-1000	1	0.979374	DC4	1000
DC5-100	1	0.922356	DC5	100
DC5-10000	1	0.990089	DC5	10000
DC5-10	1	0.389619	DC5	10
DC5-1000	1	0.967944	DC5	1000
QC1-100	1	0.89784	QC1	100
QC1-10000	1	0.9881969999999999	QC1	10000
QC1-10	1	0.021043	QC1	10
QC1-1000	1	0.981058	QC1	1000
QC2-100	1	0.913042	QC2	100
QC2-10000	1	0.9913280000000001	QC2	10000
QC2-10	1	0.0131	QC2	10
QC2-1000	1	0.986215	QC2	1000
TC1-100	1	0.884275	TC1	100
TC1-10000	1	0.990239	TC1	10000
TC1-10	1	0.63203	TC1	10
TC1-1000	1	0.979037	TC1	1000
TC2-100	1	0.914258	TC2	100
TC2-10000	1	0.98992	TC2	10000
TC2-10	1	0.47437799999999997	TC2	10
TC2-1000	1	0.978439	TC2	1000
TC5-100	1	0.893847	TC5	100
TC5-10000	1	0.9900540000000001	TC5	10000
TC5-10	1	0.647601	TC5	10
TC5-1000	1	0.9834790000000001	TC5	1000
7C1-100	5	0.460624	7C1	100
7C1-10000	5	0.963558	7C1	10000
7C1-10	5	0.000678	7C1	10
7C1-1000	5	0.939308	7C1	1000
DC3-100	5	0.546937	DC3	100
DC3-10000	5	0.965407	DC3	10000
DC3-10	5	0.39321300000000003	DC3	10
DC3-1000	5	0.909581	DC3	1000
DC4-100	5	0.8030189999999999	DC4	100
DC4-10000	5	0.968354	DC4	10000
DC4-10	5	0.267801	DC4	10
DC4-1000	5	0.9164129999999999	DC4	1000
DC5-100	5	0.731164	DC5	100
DC5-10000	5	0.965864	DC5	10000
DC5-10	5	0.191432	DC5	10
DC5-1000	5	0.866017	DC5	1000
QC1-100	5	0.711013	QC1	100
QC1-10000	5	0.9526129999999999	QC1	10000
QC1-10	5	0.001179	QC1	10
QC1-1000	5	0.918481	QC1	1000
QC2-100	5	0.741264	QC2	100
QC2-10000	5	0.971039	QC2	10000
QC2-10	5	0.000814	QC2	10
QC2-1000	5	0.9432729999999999	QC2	1000
TC1-100	5	0.677078	TC1	100
TC1-10000	5	0.965457	TC1	10000
TC1-10	5	0.38784	TC1	10
TC1-1000	5	0.915209	TC1	1000
TC2-100	5	0.751736	TC2	100
TC2-10000	5	0.964626	TC2	10000
TC2-10	5	0.165681	TC2	10
TC2-1000	5	0.9176049999999999	TC2	1000
TC5-100	5	0.688112	TC5	100
TC5-10000	5	0.962901	TC5	10000
TC5-10	5	0.38621	TC5	10
TC5-1000	5	0.9301879999999999	TC5	1000
7C1-100	10	0.320778	7C1	100
7C1-10000	10	0.92514	7C1	10000
7C1-10	10	0.000302	7C1	10
7C1-1000	10	0.8798870000000001	7C1	1000
DC3-100	10	0.401816	DC3	100
DC3-10000	10	0.932781	DC3	10000
DC3-10	10	0.295211	DC3	10
