GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	sample
20782107	19.623361	45.455302	4	4	0.170353	0	0.042617	0.028042	0.180115	0.331158	0.752284	0.774695	0.460624	0.320778	0.24947	0.204998	0.173961	0.150916	0.118809	0.097671	0.082859	0.071903	0.063332	0.056597	0.051168	0.651792	5	7C1-100
20782107	108.445368	87.131438	81	59	0.175467	0	0.034889	0.026471	0.18784	0.229746	0.654412	0.990388	0.963558	0.92514	0.886052	0.847432	0.810401	0.774961	0.708159	0.648263	0.594514	0.546814	0.504051	0.465653	0.43151	0.979699	17	7C1-10000
20782107	0.028455	1.254961	0	0	0.561533	0	0.040796	0.014723	0.114083	0.021437	0.752572	0.01085	0.000678	0.000302	0.000193	0.000148	0.000128	0.0001	0.000084	0.000069	0.000054	0.000041	0.000033	0.00003	0.000029	0.006607	0	7C1-10
20782107	92.986099	86.45289	59	46	0.177356	0	0.036499	0.027596	0.185526	0.225188	0.652165	0.985271	0.939308	0.879887	0.8221	0.769609	0.722751	0.680808	0.608017	0.547981	0.497396	0.453797	0.416007	0.383267	0.354733	0.967304	15	7C1-1000
20782107	24.377515	48.472927	6	6	0.165106	0	0.039396	0.026655	0.194928	0.135745	0.56183	0.820323	0.546937	0.401816	0.321088	0.267984	0.22959	0.200785	0.159894	0.131906	0.111471	0.096194	0.084124	0.074273	0.066136	0.716089	5	DC3-100
20782107	117.7001	88.856259	94	68	0.203373	0	0.030613	0.026236	0.204559	0.19458	0.659361	0.989172	0.965407	0.932781	0.898628	0.865215	0.832902	0.801621	0.741971	0.686686	0.636949	0.592097	0.551424	0.514441	0.480458	0.979965	17	DC3-10000
20782107	24.076338	56.808116	2	2	0.217279	0	0.041838	0.024895	0.201818	0.312785	0.798615	0.647331	0.393213	0.295211	0.243621	0.210005	0.186216	0.167909	0.140752	0.122333	0.108948	0.098974	0.090834	0.084016	0.078114	0.551224	3	DC3-10
20782107	75.593036	79.174348	43	34	0.206974	0	0.031379	0.024977	0.209361	0.158302	0.630994	0.977448	0.909581	0.830903	0.761861	0.701788	0.649281	0.602446	0.523722	0.460488	0.409592	0.367277	0.331397	0.300188	0.272953	0.952403	13	DC3-1000
20782107	63.003194	80.763063	24	22	0.214722	0	0.033885	0.02608	0.203072	0.235077	0.712836	0.944428	0.803019	0.688279	0.607929	0.547242	0.499107	0.458876	0.397442	0.351665	0.31548	0.286519	0.261934	0.241356	0.223874	0.892125	10	DC4-100
20782107	122.925722	90.300819	100	74	0.216666	0	0.029161	0.025066	0.210355	0.243591	0.724839	0.990329	0.968354	0.938127	0.906564	0.874419	0.842778	0.812578	0.755431	0.702895	0.655109	0.611471	0.571771	0.535212	0.50219	0.981808	17	DC4-10000
