total	mapped	paired	density	extraction	swga	rep
32553603	18887576	17600048	100	Che	Sang	1
32555739	14990491	14137716	100	Che	Sang	2
32558999	13183240	12468068	100	Che	Sof	1
32565436	15930426	15035588	100	Che	Sof	2
32555817	24731165	22656626	100	Qia	Sang	1
32560060	24165343	22557334	100	Qia	Sang	2
32550736	25557102	23480542	100	Qia	Sof	1
32553759	25599414	23874680	100	Qia	Sof	2
32551505	21091357	19561680	1000	Che	Sang	1
32549525	21390844	19935960	1000	Che	Sang	2
32555818	20156017	18758570	1000	Che	Sof	1
32564516	19008617	17741592	1000	Che	Sof	2
32552505	28884019	26158588	1000	Qia	Sang	1
32555714	28587864	25938002	1000	Qia	Sang	2
32554866	28946824	26211206	1000	Qia	Sof	1
32553684	28531591	26197832	1000	Qia	Sof	2
