total	mapped	paired	density	ext	swga	rep
28486008	9985181	9715880	100	Che	Sang	1
28487316	7158515	6948330	100	Che	Sang	2
28491856	5908005	5713288	100	Che	Sof	1
28495486	8459712	8225502	100	Che	Sof	2
28486138	10657976	10165690	100	Qia	Sang	1
28488794	9668008	9302992	100	Qia	Sang	2
28483284	14429330	13835246	100	Qia	Sof	1
28485652	13511322	13166246	100	Qia	Sof	2
28480080	12689756	12257586	1000	Che	Sang	1
28481178	13296760	12915514	1000	Che	Sang	2
28491004	13210003	12796364	1000	Che	Sof	1
28496456	12053788	11671642	1000	Che	Sof	2
28484632	19739894	18944852	1000	Qia	Sang	1
28488778	19072137	18334868	1000	Qia	Sang	2
28487330	21285191	20417044	1000	Qia	Sof	1
28488178	20693226	20000646	1000	Qia	Sof	2
