total	mapped	paired	plate	sampleName	pc_mapped	balance_coeff
74026	39189	27268	bn1	1106666165	0.529395077405236	4.841969685370895
107324	50286	34776	bn1	1117532950	0.46854384853341285	3.773454838324783
117902	60064	42958	bn1	1147452927	0.5094400434258961	3.159162726425146
72050	42328	31212	bn1	1147453268	0.5874809160305343	4.482894301644302
84312	46031	33300	bn1	1148499593	0.5459602429072967	4.1222643435945345
83510	48899	36226	bn1	1148499595	0.5855466411208239	3.8804873310292645
185442	89722	60222	bn1	1148499596	0.48382782756872766	2.114887652972515
182494	97283	69550	bn1	1148499600	0.5330750600019727	1.9505149923419305
112630	52014	33156	bn1	1148499601	0.4618130160703187	3.6480937824431887
92250	40315	28136	bn1	1148499609	0.43701897018970187	4.70673322584646
103958	54324	39172	bn1	1148499619	0.5225571865561092	3.4929671968190856
114486	61360	44238	bn1	1148499620	0.5359607288227382	3.0924372555410695
98584	56354	40584	bn1	1148499630	0.5716343422867808	3.367142527593428
143454	79231	57528	bn1	1148499642	0.5523094511132488	2.394920548775101
111058	60494	43812	bn1	1148499643	0.5447063696446902	3.1367069461434194
115904	62914	47824	bn1	1148499654	0.5428112921038101	3.016052865816829
143272	68802	47112	bn1	1148499657	0.48021944273828804	2.7579423563268506
115048	58005	41018	bn1	1148499659	0.5041808636395244	3.271303335919317
80288	34353	25114	bn1	1148499670	0.4278721602231965	5.523591826041393
91270	48082	34862	bn1	1148499674	0.5268105620685877	3.946423817644857
74926	40289	30578	bn1	1148499677	0.5377172143181272	4.709770657003153
110132	50547	31680	bn1	1148499683	0.4589674209130861	3.7539705620511605
88890	39724	28304	bn1	1148499752	0.44688941388232645	4.776758382841607
142560	79007	58582	bn1	1148499781	0.5542017396184062	2.4017106079208173
90308	39043	27776	bn1	1148499783	0.4323315763830447	4.860076069974131
101018	23373	15836	bn1	1148499799	0.23137460650577124	8.118425105891413
157716	75524	54352	bn1	1148499800	0.4788607370209744	2.512472194269371
80272	45747	33384	bn1	1148499806	0.5698998405421567	4.147855597088334
674	382	284	bn1	1148499814	0.5667655786350149	496.73285340314135
121134	58693	40104	bn1	1148499816	0.484529529281622	3.2329570817644355
128662	49689	32926	bn1	1148499817	0.38619794500318666	3.8187918855279843
78884	42076	29978	bn1	1148499820	0.5333908016834846	4.509743083943341
150860	74789	53714	bn1	1148499825	0.4957510274426621	2.537163887737502
63322	32683	23006	bn1	1148499838	0.5161397302675216	5.805830248141236
65266	20534	14064	bn1	1148499839	0.31462016976680046	9.240866367975066
63270	34510	25356	bn1	1148499843	0.5454401770191244	5.498462764416112
98378	55529	40532	bn1	1148499857	0.5644453028116042	3.4171685065461292
174114	90918	65452	bn1	1148499865	0.5221751266411662	2.087066917442091
107362	54798	38868	bn1	1148499866	0.510404053575753	3.4627532026716303
91736	45357	33216	bn1	1148499867	0.4944296677422168	4.183520735498379
59940	26658	15248	bn1	1148499883	0.44474474474474474	7.118011478730587
128910	62924	45746	bn1	1148499885	0.4881234970134202	3.0155735490432902
65622	35513	23080	bn1	1148499897	0.5411752156289049	5.343168698786361
98798	55513	42924	bn1	1148499904	0.5618838438025061	3.41815340550862
89640	60304	47858	bn1	1148499918	0.672735385988398	3.1465897784558243
110668	70842	55726	bn1	1148499937	0.6401308417970868	2.6785233336156518
77944	40260	30166	bn1	1148499953	0.516524684388792	4.713163189269746
94246	47272	34342	bn1	1148500020	0.5015809689535895	4.014045312235573
66564	32849	22898	bn1	1148500086	0.49349498227269994	5.776490912965388
87860	51055	37228	bn1	1148500107	0.5810949237423173	3.716618352756831
146404	63273	43986	bn1	1148500181	0.43218081473183795	2.9989403062917837
98532	43559	27950	bn1	1148500211	0.4420797304429018	4.356205376615625
64166	35179	25782	bn1	1148500212	0.5482498519465138	5.393898348446516
25000	11656	8510	bn1	1148500240	0.46624	16.279336822237475
108766	52066	37276	bn1	1148500256	0.47869738705110054	3.644450313064188
97788	41781	28234	bn1	1148500454	0.42726101362130325	4.541584691606233
83560	44993	32286	bn1	1148500457	0.5384514121589277	4.217366034716512
111486	61189	43824	bn1	1148500468	0.5488491828570403	3.101079442383435
55200	22471	15330	bn1	1148500503	0.40708333333333335	8.444303769302657
50950	5144	3636	bn1	1148500512	0.10096172718351325	36.88801516329705
127768	69287	50496	bn1	1148500514	0.5422875837455388	2.738637118074098
163060	83474	57816	bn1	1148500516	0.5119219919048204	2.2731862615904355
96556	49745	35630	bn1	1148500523	0.5151932557272464	3.81449291386069
76390	36896	27384	bn1	1148500532	0.48299515643408825	5.142886762792715
53644	26295	17502	bn1	1148500543	0.4901759749459399	7.216274957216202
95622	18101	8984	bn1	1149103841	0.18929744201125265	10.482953980443071
290534	87782	68102	bn1	1149104054	0.30214019701652817	2.161627098949671
299958	44149	34556	bn1	1149104510	0.1471839390848052	4.297989761942513
263054	77881	57672	bn1	1149104616	0.2960646863381663	2.436434432018079
176506	60870	44120	bn1	1149108373	0.3448607979332147	3.117331197634303
98840	23305	15610	bn1	NAMP1-NEG-1	0.23578510724403076	8.14211328041193
84980	30544	21248	bn1	NAMP1-NEG-11	0.35942574723464343	6.212413239916188
106304	16307	11188	bn1	NAMP1-NEG-2	0.15339968392534617	11.636226773778132
88792	19629	13194	bn1	NAMP1-NEG-3	0.22106721326245607	9.666918844566714
110638	29681	20114	bn1	NAMP1-NEG-4	0.26827129919195936	6.393044371820357
94194	55614	41280	bn1	NAMP1-NEG-5	0.5904197719599974	3.411945733088791
77902	45269	33544	bn1	NAMP1-NEG-7	0.5811018972555262	4.19165322847865
91634	52447	38458	bn1	NAMP1-NEG-9	0.5723530567256695	3.6179752893397144
1918188	594095	391874	bn1	Undetermined	0.3097167743724807	0.31939664531766804
69028	25603	19828	m2	8025874336	0.37090745784319407	3.378082646564856
93840	25504	19288	m2	8025874394	0.27178175618073314	3.3911954987452955
114196	38144	28444	m2	8025874838	0.3340222074328348	2.2674352453859057
103652	35774	26764	m2	8025874853	0.34513564620074866	2.4176510873818975
115736	31687	24088	m2	8025875150	0.27378689431119096	2.7294805440717016
94798	13646	10142	m2	8034210892	0.1439481845608557	6.338051443646491
108730	42760	32300	m2	8034210897	0.3932677273981422	2.0226625350795135
190410	37200	27928	m2	8034210919	0.1953678903418938	2.3249744623655917
90386	36981	28054	m2	8034210928	0.40914522160511585	2.338742867959222
72924	28171	22380	m2	8034210934	0.38630629148154244	3.0701448297895
98392	27752	20910	m2	8034210937	0.2820554516627368	3.1164979100605366
81840	26657	19864	m2	8034210952	0.3257209188660802	3.244515511873054
110930	28750	21622	m2	8034210953	0.2591724510952853	3.008314782608696
68542	20691	15932	m2	8034210960	0.301873303959616	4.180032381228553
93830	23458	18628	m2	8034210972	0.25000532878610254	3.686974592889419
78366	12185	8908	m2	8034211014	0.15548834953934104	7.097993434550677
101032	10514	7576	m2	8034211045	0.10406603848285692	8.226084268594255
78778	19531	14392	m2	8034211081	0.24792454746248951	4.4282960421893405
81612	33061	25320	m2	8034211084	0.40509974023427925	2.61604458425335
106974	26141	19404	m2	8034211101	0.24436779030418607	3.3085593512107425
100344	25301	18750	m2	8034211112	0.25214262935501874	3.4184044108928506
114392	22317	16498	m2	8034211135	0.1950923141478425	3.8754783349016444
112652	38588	28264	m2	8034211137	0.34254163263856835	2.241345755157044
59516	29657	22248	m2	8034211144	0.4983029773506284	2.9163114947567186
109284	14691	11038	m2	8034211170	0.1344295596793675	5.887213259818936
43504	23571	17468	m2	8034211175	0.5418122471496873	3.6692991387722205
66428	32563	23982	m2	8034211176	0.49019991569819954	2.6560528821054574
79766	12635	9042	m2	8034211186	0.15840082240553618	6.845195884447962
69424	19052	14510	m2	8034211187	0.274429592071906	4.539631009867731
102918	26956	19708	m2	8034211201	0.26191725451330183	3.2085268585843596
107852	15493	11132	m2	8034211213	0.1436505581723102	5.582459820564127
151618	28058	21098	m2	8034211228	0.18505718318405467	3.0825094447216483
