Well	Sample.ID	Range	ng.uL	pct_total	nmole.L	length	CV	Barcode	UID	Comments	Study.Short.Code	Specimen.Type
A1	SampA1	150 bp to 550 bp	3.8639	79.6	21.177	300	31.4	8025874578	1717392.6	834	MOZ2018	DNA (DBS)
A2	SampA2	150 bp to 550 bp	3.1686	76.2	17.879	292	32.01	8025874250	1717384.1	952	MOZ2018	DNA (DBS)
A3	SampA3	150 bp to 550 bp	3.3466	77.3	19.423	283	32.68	8025875144	1704382.3	210	MOZ2018	DNA (DBS)
A4	SampA4	150 bp to 550 bp	3.7552	79.4	20.721	298	31.58	8025874328	1717366.7	1131	MOZ2018	DNA (DBS)
A5	SampA5	150 bp to 550 bp	3.833	78.5	21.406	295	31.81	8025874217	1717698.9	708	MOZ2018	DNA (DBS)
A6	SampA6	150 bp to 550 bp	4.3501	80.6	24.318	294	31.91	8025874537	1703837.9	113	MOZ2018	DNA (DBS)
A7	SampA7	150 bp to 550 bp	3.5687	77.1	19.845	296	32.21	8025874865	1717382.7	822	MOZ2018	DNA (DBS)
A8	SampA8	150 bp to 550 bp	3.6721	78.2	20.869	289	32.22	8025874636	1703982.6	174	MOZ2018	DNA (DBS)
A9	SampA9	150 bp to 550 bp	3.1082	77.6	17.7	289	32.4	8025874482	1717428.2	1021	MOZ2018	DNA (DBS)
A10	SampA10	150 bp to 550 bp	2.7997	77.3	16.037	287	33.05	8025875166	1703811.9	179	MOZ2018	DNA (DBS)
A11	SampA11	150 bp to 550 bp	3.2339	80.4	18.788	283	32.47	8025874738	1704502.5	1001	MOZ2018	DNA (DBS)
A12	SampA12	150 bp to 550 bp	1.8522	80.5	10.739	284	31.95	8025874435	1703299.5	958	MOZ2018	DNA (DBS)
B1	SampB1	150 bp to 550 bp	3.6264	78.5	20.717	288	32.1	8025874419	1704376.2	819	MOZ2018	DNA (DBS)
B2	SampB2	150 bp to 550 bp	NaN	NaN	NaN	243	30.99	8034209228	1717367.4	1018	MOZ2018	DNA (DBS)
