count	flag	ext	s1	s2	density
75720	113	chelex	sanger1	sanger2	100
30966	117	chelex	sanger1	sanger2	100
10365	121	chelex	sanger1	sanger2	100
77656	129	chelex	sanger1	sanger2	100
32648	133	chelex	sanger1	sanger2	100
10219	137	chelex	sanger1	sanger2	100
14722963	141	chelex	sanger1	sanger2	100
83021	145	chelex	sanger1	sanger2	100
5440542	147	chelex	sanger1	sanger2	100
83957	161	chelex	sanger1	sanger2	100
5439103	163	chelex	sanger1	sanger2	100
75720	177	chelex	sanger1	sanger2	100
32759	181	chelex	sanger1	sanger2	100
10173	185	chelex	sanger1	sanger2	100
16003	2113	chelex	sanger1	sanger2	100
82888	2115	chelex	sanger1	sanger2	100
2220	2121	chelex	sanger1	sanger2	100
34909	2129	chelex	sanger1	sanger2	100
30278	2131	chelex	sanger1	sanger2	100
34748	2145	chelex	sanger1	sanger2	100
29880	2147	chelex	sanger1	sanger2	100
16106	2161	chelex	sanger1	sanger2	100
83050	2163	chelex	sanger1	sanger2	100
2277	2169	chelex	sanger1	sanger2	100
22962	2177	chelex	sanger1	sanger2	100
89862	2179	chelex	sanger1	sanger2	100
4990	2185	chelex	sanger1	sanger2	100
43547	2193	chelex	sanger1	sanger2	100
36700	2195	chelex	sanger1	sanger2	100
43753	2209	chelex	sanger1	sanger2	100
35994	2211	chelex	sanger1	sanger2	100
23000	2225	chelex	sanger1	sanger2	100
88999	2227	chelex	sanger1	sanger2	100
4871	2233	chelex	sanger1	sanger2	100
77656	65	chelex	sanger1	sanger2	100
31819	69	chelex	sanger1	sanger2	100
10302	73	chelex	sanger1	sanger2	100
14722963	77	chelex	sanger1	sanger2	100
83957	81	chelex	sanger1	sanger2	100
5439103	83	chelex	sanger1	sanger2	100
83021	97	chelex	sanger1	sanger2	100
5440542	99	chelex	sanger1	sanger2	100
128874	113	chelex	sanger1	sanger2	1000
28330	117	chelex	sanger1	sanger2	1000
11051	121	chelex	sanger1	sanger2	1000
132243	129	chelex	sanger1	sanger2	1000
33598	133	chelex	sanger1	sanger2	1000
10309	137	chelex	sanger1	sanger2	1000
7606185	141	chelex	sanger1	sanger2	1000
114037	145	chelex	sanger1	sanger2	1000
6389525	147	chelex	sanger1	sanger2	1000
114974	161	chelex	sanger1	sanger2	1000
6394491	163	chelex	sanger1	sanger2	1000
128874	177	chelex	sanger1	sanger2	1000
33401	181	chelex	sanger1	sanger2	1000
10017	185	chelex	sanger1	sanger2	1000
27060	2113	chelex	sanger1	sanger2	1000
139541	2115	chelex	sanger1	sanger2	1000
2843	2121	chelex	sanger1	sanger2	1000
64408	2129	chelex	sanger1	sanger2	1000
53081	2131	chelex	sanger1	sanger2	1000
64545	2145	chelex	sanger1	sanger2	1000
52330	2147	chelex	sanger1	sanger2	1000
26886	2161	chelex	sanger1	sanger2	1000
138393	2163	chelex	sanger1	sanger2	1000
2930	2169	chelex	sanger1	sanger2	1000
36273	2177	chelex	sanger1	sanger2	1000
149482	2179	chelex	sanger1	sanger2	1000
4666	2185	chelex	sanger1	sanger2	1000
76500	2193	chelex	sanger1	sanger2	1000
63780	2195	chelex	sanger1	sanger2	1000
75842	2209	chelex	sanger1	sanger2	1000
62786	2211	chelex	sanger1	sanger2	1000
35976	2225	chelex	sanger1	sanger2	1000
149453	2227	chelex	sanger1	sanger2	1000
4658	2233	chelex	sanger1	sanger2	1000
132243	65	chelex	sanger1	sanger2	1000
28920	69	chelex	sanger1	sanger2	1000
11065	73	chelex	sanger1	sanger2	1000
7606185	77	chelex	sanger1	sanger2	1000
114974	81	chelex	sanger1	sanger2	1000
6394491	83	chelex	sanger1	sanger2	1000
114037	97	chelex	sanger1	sanger2	1000
6389525	99	chelex	sanger1	sanger2	1000
10831	113	chelex	sof1	sof2	100
29103	117	chelex	sof1	sof2	100
9943	121	chelex	sof1	sof2	100
11429	129	chelex	sof1	sof2	100
25309	133	chelex	sof1	sof2	100
11638	137	chelex	sof1	sof2	100
17873589	141	chelex	sof1	sof2	100
10688	145	chelex	sof1	sof2	100
2637165	147	chelex	sof1	sof2	100
11204	161	chelex	sof1	sof2	100
2639522	163	chelex	sof1	sof2	100
10831	177	chelex	sof1	sof2	100
24948	181	chelex	sof1	sof2	100
11818	185	chelex	sof1	sof2	100
1817	2113	chelex	sof1	sof2	100
9142	2115	chelex	sof1	sof2	100
782	2121	chelex	sof1	sof2	100
3956	2129	chelex	sof1	sof2	100
