baseQuality	bq_count	ext	s1	s2	density
5	1379574	chelex	sanger1	sanger2	100
6	4556656	chelex	sanger1	sanger2	100
7	8117040	chelex	sanger1	sanger2	100
8	9257430	chelex	sanger1	sanger2	100
9	39226748	chelex	sanger1	sanger2	100
10	170451654	chelex	sanger1	sanger2	100
11	315325855	chelex	sanger1	sanger2	100
12	372261234	chelex	sanger1	sanger2	100
13	293458693	chelex	sanger1	sanger2	100
14	229002842	chelex	sanger1	sanger2	100
15	193005969	chelex	sanger1	sanger2	100
16	222580305	chelex	sanger1	sanger2	100
17	73932766	chelex	sanger1	sanger2	100
18	81840201	chelex	sanger1	sanger2	100
19	67176484	chelex	sanger1	sanger2	100
20	46370271	chelex	sanger1	sanger2	100
21	70465978	chelex	sanger1	sanger2	100
22	130032464	chelex	sanger1	sanger2	100
23	362188702	chelex	sanger1	sanger2	100
24	1209005534	chelex	sanger1	sanger2	100
25	2328959226	chelex	sanger1	sanger2	100
26	934420452	chelex	sanger1	sanger2	100
27	897746652	chelex	sanger1	sanger2	100
28	1255058440	chelex	sanger1	sanger2	100
29	3121994049	chelex	sanger1	sanger2	100
30	3083635098	chelex	sanger1	sanger2	100
31	78808661	chelex	sanger1	sanger2	100
32	1430278	chelex	sanger1	sanger2	100
6	2473956	chelex	sanger1	sanger2	1K
7	9286626	chelex	sanger1	sanger2	1K
8	9217011	chelex	sanger1	sanger2	1K
9	2296380	chelex	sanger1	sanger2	1K
10	94499918	chelex	sanger1	sanger2	1K
11	349132257	chelex	sanger1	sanger2	1K
12	361966811	chelex	sanger1	sanger2	1K
13	162060890	chelex	sanger1	sanger2	1K
14	162230454	chelex	sanger1	sanger2	1K
15	174742090	chelex	sanger1	sanger2	1K
16	63846296	chelex	sanger1	sanger2	1K
17	24152045	chelex	sanger1	sanger2	1K
18	20647662	chelex	sanger1	sanger2	1K
19	75122441	chelex	sanger1	sanger2	1K
20	28293771	chelex	sanger1	sanger2	1K
21	78103198	chelex	sanger1	sanger2	1K
22	68767847	chelex	sanger1	sanger2	1K
23	125721183	chelex	sanger1	sanger2	1K
24	452373607	chelex	sanger1	sanger2	1K
25	1390821711	chelex	sanger1	sanger2	1K
26	1465809363	chelex	sanger1	sanger2	1K
27	742630173	chelex	sanger1	sanger2	1K
28	763060301	chelex	sanger1	sanger2	1K
29	2872323578	chelex	sanger1	sanger2	1K
30	3042725494	chelex	sanger1	sanger2	1K
31	37122015	chelex	sanger1	sanger2	1K
4	928462	chelex	sof1	sanger1	100
5	1379574	chelex	sof1	sanger1	100
6	3332807	chelex	sof1	sanger1	100
7	8189371	chelex	sof1	sanger1	100
8	19109094	chelex	sof1	sanger1	100
9	48442310	chelex	sof1	sanger1	100
10	179221325	chelex	sof1	sanger1	100
11	243111460	chelex	sof1	sanger1	100
12	209778208	chelex	sof1	sanger1	100
13	240645664	chelex	sof1	sanger1	100
14	242078187	chelex	sof1	sanger1	100
15	159680299	chelex	sof1	sanger1	100
16	256722139	chelex	sof1	sanger1	100
17	139387898	chelex	sof1	sanger1	100
18	143193903	chelex	sof1	sanger1	100
19	159459437	chelex	sof1	sanger1	100
20	196232856	chelex	sof1	sanger1	100
21	627447472	chelex	sof1	sanger1	100
22	692441995	chelex	sof1	sanger1	100
23	472814697	chelex	sof1	sanger1	100
24	839261306	chelex	sof1	sanger1	100
25	1357481393	chelex	sof1	sanger1	100
26	750758677	chelex	sof1	sanger1	100
