ext	s1	s2	density	total	perfectMapping
chelex	sanger1	sanger2	100	105475479	0.4124637158557014
chelex	sanger1	sanger2	1K	86334719	0.592407209896635
chelex	sof1	sanger1	100	97226593	0.29549664462684605
chelex	sof1	sanger1	1K	94497970	0.469893205113295
chelex	sof1	sanger2	100	106591470	0.3258767329130558
chelex	sof1	sanger2	1K	90017197	0.46074929438205015
chelex	sof1	sof2	100	93257357	0.22634662485663196
chelex	sof1	sof2	1K	103871033	0.3834387976097244
chelex	sof2	sanger1	100	92141366	0.3242584443560344
chelex	sof2	sanger1	1K	100188555	0.49404978442896996
chelex	sof2	sanger2	100	101506243	0.3535069660690722
chelex	sof2	sanger2	1K	95707782	0.4865804956173783
qiagen	sanger1	sanger2	100	74396812	0.6052303423969296
qiagen	sanger1	sanger2	1K	82439312	0.7560201860976229
qiagen	sof1	sanger1	100	85069402	0.5382233908262338
qiagen	sof1	sanger1	1K	77968797	0.7580214941625943
qiagen	sof1	sanger2	100	79699730	0.536741015308333
qiagen	sof1	sanger2	1K	78732963	0.7753618519348751
qiagen	sof1	sof2	100	105650447	0.4692322219895577
qiagen	sof1	sof2	1K	79067373	0.7792819928391955
qiagen	sof2	sanger1	100	100347529	0.516442093955298
qiagen	sof2	sanger1	1K	82773722	0.7598429366266748
qiagen	sof2	sanger2	100	94977857	0.5139667449013932
qiagen	sof2	sanger2	1K	83537888	0.776169251489815
