owner	extractionMethod	density	repairMethod	swgaMethod	replicate	sampleNumber	laneNumber	sampleName
BH	Chelex	10000	NOR	Sof	1	S44	L001	BH-Chelex-NOR-Sof-1-S44-L001
BH	Chelex	10000	NOR	Sof	1	S44	L002	BH-Chelex-NOR-Sof-1-S44-L002
BH	Chelex	10000	NOR	Sof	1	S44	L003	BH-Chelex-NOR-Sof-1-S44-L003
BH	Chelex	10000	NOR	Sof	1	S44	L004	BH-Chelex-NOR-Sof-1-S44-L004
BH	Chelex	10000	NOR	Sof	2	S45	L001	BH-Chelex-NOR-Sof-2-S45-L001
BH	Chelex	10000	NOR	Sof	2	S45	L002	BH-Chelex-NOR-Sof-2-S45-L002
BH	Chelex	10000	NOR	Sof	2	S45	L003	BH-Chelex-NOR-Sof-2-S45-L003
BH	Chelex	10000	NOR	Sof	2	S45	L004	BH-Chelex-NOR-Sof-2-S45-L004
BH	Chelex	10000	NOR	Sof	3	S46	L001	BH-Chelex-NOR-Sof-3-S46-L001
BH	Chelex	10000	NOR	Sof	3	S46	L002	BH-Chelex-NOR-Sof-3-S46-L002
BH	Chelex	10000	NOR	Sof	3	S46	L003	BH-Chelex-NOR-Sof-3-S46-L003
BH	Chelex	10000	NOR	Sof	3	S46	L004	BH-Chelex-NOR-Sof-3-S46-L004
BH	Chelex	10000	RP	Sof	1	S41	L001	BH-Chelex-RP-Sof-1-S41-L001
BH	Chelex	10000	RP	Sof	1	S41	L002	BH-Chelex-RP-Sof-1-S41-L002
BH	Chelex	10000	RP	Sof	1	S41	L003	BH-Chelex-RP-Sof-1-S41-L003
BH	Chelex	10000	RP	Sof	1	S41	L004	BH-Chelex-RP-Sof-1-S41-L004
BH	Chelex	10000	RP	Sof	2	S42	L001	BH-Chelex-RP-Sof-2-S42-L001
BH	Chelex	10000	RP	Sof	2	S42	L002	BH-Chelex-RP-Sof-2-S42-L002
BH	Chelex	10000	RP	Sof	2	S42	L003	BH-Chelex-RP-Sof-2-S42-L003
BH	Chelex	10000	RP	Sof	2	S42	L004	BH-Chelex-RP-Sof-2-S42-L004
BH	Chelex	10000	RP	Sof	3	S43	L001	BH-Chelex-RP-Sof-3-S43-L001
BH	Chelex	10000	RP	Sof	3	S43	L002	BH-Chelex-RP-Sof-3-S43-L002
BH	Chelex	10000	RP	Sof	3	S43	L003	BH-Chelex-RP-Sof-3-S43-L003
BH	Chelex	10000	RP	Sof	3	S43	L004	BH-Chelex-RP-Sof-3-S43-L004
BH	na	10000	na	na	na	S53	L001	BH-Neg-S53-L001
BH	na	10000	na	na	na	S53	L002	BH-Neg-S53-L002
BH	na	10000	na	na	na	S53	L003	BH-Neg-S53-L003
BH	na	10000	na	na	na	S53	L004	BH-Neg-S53-L004
BH	Qiagen	10000	NO	Sof	1	S50	L001	BH-Qiagen-NO-Sof-1-S50-L001
BH	Qiagen	10000	NO	Sof	1	S50	L002	BH-Qiagen-NO-Sof-1-S50-L002
BH	Qiagen	10000	NO	Sof	1	S50	L003	BH-Qiagen-NO-Sof-1-S50-L003
BH	Qiagen	10000	NO	Sof	1	S50	L004	BH-Qiagen-NO-Sof-1-S50-L004
BH	Qiagen	10000	NO	Sof	2	S51	L001	BH-Qiagen-NO-Sof-2-S51-L001
BH	Qiagen	10000	NO	Sof	2	S51	L002	BH-Qiagen-NO-Sof-2-S51-L002
BH	Qiagen	10000	NO	Sof	2	S51	L003	BH-Qiagen-NO-Sof-2-S51-L003
BH	Qiagen	10000	NO	Sof	2	S51	L004	BH-Qiagen-NO-Sof-2-S51-L004
BH	Qiagen	10000	NO	Sof	3	S52	L001	BH-Qiagen-NO-Sof-3-S52-L001
