GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	sample
20782107	50.076229	66.201821	22	17	0.074938	0	0.002644	0.089256	0.301664	0.137778	0.606279	0.970736	0.849876	0.71533	0.613681	0.536014	0.474903	0.425308	0.348893	0.292999	0.251152	0.218908	0.193392	0.172522	0.155336	0.926753	11	100-Che-Sang-1
20782107	41.201705	55.612603	20	15	0.085368	0	0.002703	0.098296	0.276478	0.074796	0.537641	0.974962	0.855912	0.708508	0.593789	0.506509	0.437799	0.382492	0.30104	0.243528	0.200893	0.168613	0.143947	0.124846	0.109401	0.931444	12	100-Che-Sang-2
20782107	44.950114	55.679066	24	17	0.085482	0	0.00319	0.069707	0.292266	0.0485	0.499144	0.979029	0.887123	0.762455	0.652552	0.562746	0.491221	0.432815	0.34278	0.278282	0.230739	0.194313	0.165834	0.142873	0.124164	0.945679	13	100-Che-Sof-1
20782107	56.873357	65.122534	31	22	0.065024	0	0.003144	0.081798	0.311389	0.090958	0.552313	0.983148	0.914166	0.817503	0.726711	0.64687	0.578385	0.520113	0.427446	0.35708	0.303506	0.261394	0.227782	0.20002	0.177021	0.958748	14	100-Che-Sof-2
20782107	38.418081	65.100015	10	10	0.096861	0	0.002338	0.074326	0.282625	0.273682	0.729832	0.858527	0.632534	0.502437	0.424351	0.369147	0.32738	0.294567	0.246337	0.212198	0.186337	0.166087	0.149429	0.135483	0.123589	0.758442	6	100-Qia-Sang-1
20782107	36.843822	63.30755	9	9	0.104281	0	0.002342	0.070087	0.300713	0.238459	0.715882	0.852248	0.62245	0.49339	0.415466	0.361498	0.320699	0.288374	0.240314	0.204744	0.17832	0.157716	0.141384	0.127976	0.116576	0.751953	6	100-Qia-Sang-2
20782107	42.864156	68.053315	12	11	0.053328	0	0.002239	0.091886	0.292505	0.266117	0.706076	0.876878	0.666891	0.542484	0.465134	0.40976	0.366733	0.332039	0.2791	0.24042	0.211177	0.188347	0.169692	0.154377	0.141416	0.785346	7	100-Qia-Sof-1
20782107	31.981415	58.211011	7	7	0.066259	0	0.001852	0.065428	0.33621	0.220709	0.690458	0.832307	0.58411	0.455071	0.378401	0.326071	0.287285	0.256827	0.210999	0.178553	0.154166	0.135233	0.120055	0.107433	0.097137	0.726361	6	100-Qia-Sof-2
20782107	68.875345	72.459525	40	29	0.073345	0	0.002959	0.071646	0.283072	0.126011	0.557033	0.984384	0.932059	0.856635	0.782015	0.712658	0.650574	0.596052	0.506128	0.435653	0.378408	0.331544	0.292251	0.259909	0.233005	0.964185	14	1000-Che-Sang-1
20782107	69.612202	72.345902	41	30	0.053136	0	0.00214	0.070299	0.313174	0.120058	0.558807	0.985441	0.933749	0.858843	0.785153	0.71777	0.657405	0.603857	0.514762	0.444021	0.386333	0.33897	0.299366	0.266073	0.238188	0.966358	15	1000-Che-Sang-2
20782107	79.984934	73.187764	54	36	0.034889	0	0.002486	0.07457	0.310986	0.095848	0.518778	0.989461	0.959516	0.912993	0.860445	0.806055	0.75333	0.703335	0.611757	0.531609	0.46389	0.407419	0.359941	0.319512	0.285271	0.977991	17	1000-Che-Sof-1
20782107	77.400576	71.903692	52	34	0.03794	0	0.002719	0.096483	0.289978	0.089723	0.516844	0.989354	0.957446	0.908089	0.852851	0.796365	0.741545	0.689793	0.596329	0.516462	0.449903	0.394036	0.347108	0.307473	0.273424	0.977145	16	1000-Che-Sof-2
20782107	77.504415	80.259508	44	34	0.031768	0	0.001817	0.077144	0.304816	0.22879	0.644335	0.979224	0.921378	0.846016	0.776143	0.713855	0.658559	0.610118	0.529977	0.466446	0.415388	0.372963	0.337206	0.306484	0.279914	0.956527	14	1000-Qia-Sang-1
20782107	78.144443	80.378504	45	35	0.035831	0	0.001842	0.08283	0.304053	0.2202	0.644757	0.979295	0.922628	0.849834	0.781693	0.720498	0.666487	0.618407	0.536415	0.471102	0.418905	0.375402	0.338762	0.307748	0.281318	0.956913	14	1000-Qia-Sang-2
20782107	66.947458	71.930759	39	29	0.024873	0	0.001655	0.075287	0.292838	0.149326	0.543979	0.979709	0.9203	0.840225	0.76461	0.696149	0.63568	0.582096	0.492387	0.421904	0.366118	0.320397	0.282528	0.251619	0.225847	0.955705	14	1000-Qia-Sof-1
20782107	90.905209	82.284954	61	45	0.026535	0	0.001656	0.077913	0.31329	0.191678	0.611072	0.985197	0.948856	0.89811	0.845532	0.795414	0.748965	0.705698	0.628489	0.562294	0.505453	0.456729	0.414784	0.378241	0.345673	0.970964	15	1000-Qia-Sof-2
