total	mapped	paired	sample
58355764	33859958	31549938	100-Che-Sang-1-S15
53729232	24743428	23335906	100-Che-Sang-2-S16
63812788	25837527	24437136	100-Che-Sof-1-S11
71183042	34816059	32858742	100-Che-Sof-2-S12
54301024	41248365	37788600	100-Qia-Sang-1-S13
56141246	41669614	38899282	100-Qia-Sang-2-S14
45967886	36093416	33160972	100-Qia-Sof-1-S9
37028304	29117691	27155322	100-Qia-Sof-2-S10
58704875	38044753	35286934	1000-Che-Sang-1-S7
55240914	36304284	33838422	1000-Che-Sang-2-S8
58962110	36502088	33972930	1000-Che-Sof-1-S3
61247808	35756818	33373946	1000-Che-Sof-2-S4
51922617	46067333	41720448	1000-Qia-Sang-1-S5
54287927	47672495	43251400	1000-Qia-Sang-2-S6
32554866	28946824	26211206	1000-Qia-Sof-1-S1
54765042	47998402	44070244	1000-Qia-Sof-2-S2
39077097	17709899	17025610	Neg-Qia-Sof-1-S17
66647349	30774499	30081502	Neg-Qia-Sof-2-S18
44283650	24416697	20746716	Undetermined-S0
