total	mapped	paired	density	extraction	digest	swga	rep
227356890	103908110	74195726	100	Che	M	Sang	1
118005886	55050855	39301960	100	Che	M	Sang	2
115531174	57834606	42824260	100	Che	M	Sof	1
120637356	42816	30306	100	Che	M	Sof	2
95561558	17522574	12233628	100	Che	R	Sang	1
131366580	29554923	20340000	100	Che	R	Sang	2
143063096	32410880	22233832	100	Che	R	Sof	1
177494358	32981595	22573986	100	Che	R	Sof	2
139311920	66354044	47340590	100	Qia	M	Sang	1
252213328	120962467	86716800	100	Qia	M	Sang	2
21993168	13717685	10499566	100	Qia	M	Sof	1
144448094	66714181	47581490	100	Qia	M	Sof	2
226878984	79338577	54495834	100	Qia	R	Sang	1
170486788	53376977	36158120	100	Qia	R	Sang	2
114905360	44821932	32036478	100	Qia	R	Sof	1
110741240	36435433	25481142	100	Qia	R	Sof	2
143118038	69568569	49867096	1000	Che	M	Sang	1
115227206	53057053	37353134	1000	Che	M	Sang	2
106011094	56907210	42372658	1000	Che	M	Sof	1
76709566	37134928	26722022	1000	Che	M	Sof	2
187959578	63027437	44097506	1000	Che	R	Sang	1
104636582	36528732	25889146	1000	Che	R	Sang	2
153677594	52245766	37009192	1000	Che	R	Sof	1
109923920	33529045	22780864	1000	Che	R	Sof	2
148969942	73623590	53084360	1000	Qia	M	Sang	1
135107800	70110808	51593394	1000	Qia	M	Sang	2
126950624	68278543	50688734	1000	Qia	M	Sof	1
123149864	61812212	44383138	1000	Qia	M	Sof	2
106056828	49195303	36004430	1000	Qia	R	Sang	1
163820436	78114939	56889422	1000	Qia	R	Sang	2
174177456	84532971	61579712	1000	Qia	R	Sof	1
161242554	64990881	44231092	1000	Qia	R	Sof	2
181434558	1516	654	Neg	Neg	Neg	Neg	1
170798650	1281	592	Neg	Neg	Neg	Neg	2
181574824	1979	872	Neg	Che	R	Sang	1
173590772	1806	806	Neg	Che	R	Sang	2
42562590	229947	161918	Neg	Qia	R	Sang	1
68587782	2800117	1999532	Neg	Qia	R	Sang	2
