GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	density	extraction	digest	swga
20782073	35.362425	77.341333	0	0	0.437008	0	0.075056	0.015969	0.122017	0.187354	0.837404	0.241423	0.237447	0.23191	0.225919	0.219902	0.214017	0.208321	0.197168	0.187206	0.178101	0.169681	0.161768	0.154308	0.147196	0.239799	1	1000	Che	M	Sang
20782073	39.035208	82.290743	0	0	0.399064	0	0.0855	0.016601	0.119551	0.209675	0.830391	0.241592	0.238753	0.234657	0.230089	0.225372	0.2206	0.216034	0.207115	0.198589	0.190357	0.182744	0.175674	0.169067	0.162903	0.240414	1	1000	Che	M	Sof
20782073	30.173041	69.383189	0	0	0.455802	0	0.081923	0.016653	0.117806	0.137315	0.809499	0.240981	0.235306	0.227552	0.220053	0.212654	0.205522	0.198429	0.18501	0.172484	0.161025	0.150534	0.140756	0.131996	0.124055	0.238708	1	1000	Che	R	Sang
20782073	31.815834	71.287721	0	0	0.462078	0	0.078984	0.016078	0.118587	0.115691	0.791419	0.241294	0.237145	0.231232	0.225162	0.218889	0.21259	0.206203	0.193697	0.181537	0.170204	0.159779	0.150256	0.141212	0.132767	0.23964	1	1000	Che	R	Sof
20782073	32.546945	74.609248	0	0	0.423029	0	0.065696	0.016762	0.128071	0.22548	0.859038	0.240762	0.233588	0.224328	0.215599	0.207337	0.199906	0.19324	0.181393	0.170767	0.161357	0.15283	0.145202	0.138476	0.132233	0.237949	1	1000	Qia	M	Sang
20782073	35.262088	78.358425	0	0	0.407558	0	0.07298	0.016357	0.125987	0.22872	0.851602	0.24089	0.234398	0.226366	0.218813	0.211746	0.205311	0.199386	0.188826	0.179462	0.171024	0.163617	0.156922	0.150757	0.145062	0.238375	1	1000	Qia	M	Sof
20782073	31.175829	71.871037	0	0	0.433939	0	0.091217	0.017271	0.111645	0.198627	0.852699	0.240705	0.233787	0.225325	0.217278	0.209505	0.202104	0.195037	0.182142	0.170631	0.160258	0.150929	0.142108	0.134041	0.12668	0.237904	1	1000	Qia	R	Sang
20782073	32.693243	73.644258	0	0	0.443581	0	0.075661	0.015408	0.122757	0.189093	0.8465	0.241229	0.236133	0.22921	0.222315	0.215529	0.208959	0.202512	0.189729	0.178147	0.167786	0.158387	0.149698	0.141653	0.134308	0.239208	1	1000	Qia	R	Sof
20782073	30.189074	71.352341	0	0	0.435577	0	0.078034	0.016151	0.121458	0.204233	0.855454	0.240098	0.230793	0.220481	0.210542	0.201407	0.19327	0.185944	0.172536	0.160614	0.150443	0.141854	0.134344	0.127672	0.121519	0.236505	1	100	Che	M	Sang
20782073	23.533305	60.355296	0	0	0.389022	0	0.092344	0.017433	0.115703	0.168984	0.783486	0.239223	0.226087	0.21081	0.197295	0.185704	0.175198	0.165933	0.149922	0.136479	0.124837	0.114531	0.10559	0.097952	0.091363	0.234026	1	100	Che	M	Sof
20782073	20.217847	54.652894	0	0	0.462556	0	0.08272	0.016715	0.117089	0.119879	0.798959	0.237769	0.221568	0.203572	0.188885	0.175706	0.163586	0.152563	0.13417	0.119714	0.107606	0.097664	0.089051	0.081661	0.07527	0.231583	1	100	Che	R	Sang
20782073	21.994781	56.863915	0	0	0.466817	0	0.079819	0.015485	0.117996	0.09666	0.776777	0.239434	0.22798	0.213905	0.200664	0.188046	0.176572	0.166094	0.14795	0.132585	0.119459	0.108222	0.098843	0.090781	0.083662	0.235061	1	100	Che	R	Sof
20782073	20.508707	60.273197	0	0	0.370625	0	0.053471	0.018914	0.149583	0.328739	0.921332	0.220039	0.184769	0.162816	0.148551	0.138153	0.130141	0.123582	0.1129	0.104362	0.097696	0.092109	0.087276	0.082889	0.079012	0.206601	1	100	Qia	M	Sang
20782073	25.688233	67.063605	0	0	0.397212	0	0.070614	0.016778	0.128549	0.276733	0.889885	0.232102	0.210104	0.19244	0.179461	0.169187	0.160801	0.153759	0.141933	0.132118	0.123993	0.117125	0.110963	0.105548	0.100758	0.223534	1	100	Qia	M	Sof
20782073	18.339668	54.414238	0	0	0.497822	0	0.088508	0.015065	0.106802	0.174801	0.882997	0.227982	0.195734	0.172374	0.156322	0.144107	0.134126	0.125631	0.111595	0.100664	0.092008	0.084863	0.078634	0.073162	0.068277	0.21574	1	100	Qia	R	Sang
20782073	24.313774	63.710404	0	0	0.458444	0	0.082273	0.015345	0.11571	0.183198	0.85497	0.234019	0.213792	0.196963	0.183691	0.172969	0.163528	0.155306	0.141928	0.13102	0.121949	0.114148	0.107349	0.101154	0.095702	0.226282	1	100	Qia	R	Sof
