GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q	density	extraction	digest	swga
23332839	127.447668	98.180247	111	98	0.177698	0	0.029834	0.02613	0.198268	0.307368	0.739297	0.901681	0.878213	0.853691	0.82961	0.805784	0.782425	0.759765	0.717276	0.678484	0.642994	0.610464	0.580507	0.552742	0.526678	0.891942	10	1000	Che	M	Sang
23332839	141.764984	99.23434	145	105	0.160998	0	0.033172	0.026191	0.187111	0.325435	0.732906	0.90579	0.885147	0.866366	0.847778	0.828905	0.810229	0.792171	0.757604	0.724853	0.694307	0.665486	0.638614	0.613429	0.590037	0.896949	10	1000	Che	M	Sof
23332839	109.077157	92.822964	82	70	0.191646	0	0.033154	0.028045	0.197543	0.238138	0.688526	0.901151	0.873636	0.842977	0.812349	0.782535	0.753499	0.725721	0.673619	0.62585	0.58243	0.543221	0.507367	0.475287	0.445712	0.88991	10	1000	Che	R	Sang
23332839	115.453342	92.495243	94	77	0.198989	0	0.032238	0.027306	0.19853	0.198128	0.655191	0.903803	0.87964	0.855157	0.83066	0.805569	0.780292	0.755599	0.707799	0.662827	0.621525	0.583114	0.547533	0.514391	0.483561	0.893858	10	1000	Che	R	Sof
23332839	115.998311	99.778547	86	81	0.169662	0	0.025973	0.026771	0.201702	0.353387	0.777495	0.89532	0.859071	0.820675	0.785679	0.753521	0.724274	0.697648	0.650989	0.610128	0.574625	0.543588	0.516089	0.491437	0.468501	0.880953	9	1000	Qia	M	Sang
23332839	127.12855	100.448551	110	102	0.165404	0	0.02891	0.025719	0.195685	0.347143	0.762861	0.899868	0.870507	0.839779	0.811046	0.784699	0.760301	0.737256	0.695383	0.658301	0.625338	0.595649	0.5685	0.54382	0.521122	0.887975	10	1000	Qia	M	Sof
23332839	113.250389	96.756938	84	76	0.175079	0	0.035507	0.028695	0.185482	0.342267	0.767031	0.898768	0.866001	0.831798	0.799633	0.769087	0.740219	0.712967	0.66315	0.619348	0.580266	0.544995	0.513385	0.484872	0.459164	0.88537	9	1000	Qia	R	Sang
23332839	119.450438	96.849102	96	85	0.192957	0	0.031426	0.025306	0.198829	0.291138	0.739657	0.902289	0.87484	0.846035	0.818511	0.791612	0.765647	0.740713	0.69385	0.651432	0.613123	0.577935	0.545999	0.516673	0.489669	0.891194	10	1000	Qia	R	Sof
23332839	107.62246	97.839362	72	68	0.175009	0	0.030703	0.026649	0.198836	0.341769	0.772966	0.89368	0.85279	0.810047	0.770598	0.734841	0.702497	0.673451	0.621806	0.577666	0.539707	0.506971	0.478128	0.452547	0.42966	0.877621	9	100	Che	M	Sang
23332839	87.325636	89.814976	50	46	0.154903	0	0.0355	0.027791	0.18092	0.255362	0.654476	0.890675	0.83547	0.777321	0.727261	0.684026	0.645545	0.611063	0.551559	0.501228	0.458355	0.42156	0.389982	0.362338	0.338143	0.868619	9	100	Che	M	Sof
23332839	71.491485	82.002787	36	33	0.201015	0	0.034876	0.028128	0.196858	0.204055	0.66493	0.886354	0.817578	0.74538	0.684754	0.63165	0.585775	0.545519	0.477828	0.424219	0.379481	0.342281	0.310901	0.284374	0.261149	0.85985	9	100	Che	R	Sang
23332839	78.107761	82.491032	45	40	0.206856	0	0.033586	0.026278	0.197841	0.16297	0.627531	0.892477	0.840245	0.783022	0.731083	0.683691	0.640781	0.601785	0.534451	0.477575	0.429425	0.387703	0.352254	0.321642	0.294696	0.872163	9	100	Che	R	Sof
23332839	75.363584	95.228948	22	22	0.17698	0	0.025267	0.026231	0.207089	0.411421	0.846987	0.816708	0.68589	0.607102	0.554982	0.516479	0.486063	0.460502	0.419879	0.38815	0.362328	0.340084	0.321308	0.304963	0.290522	0.766665	6	100	Qia	M	Sang
23332839	88.360349	98.051588	38	38	0.171022	0	0.029534	0.025364	0.19614	0.400463	0.822523	0.857485	0.75946	0.689474	0.63884	0.600265	0.568361	0.541132	0.495925	0.459611	0.429191	0.40362	0.381342	0.361928	0.344522	0.819085	7	100	Qia	M	Sof
23332839	67.43325	86.883878	23	23	0.207838	0	0.036102	0.027785	0.196172	0.335791	0.803687	0.843544	0.723322	0.637189	0.576671	0.530148	0.492916	0.461734	0.410917	0.371096	0.338473	0.311671	0.288654	0.268782	0.251251	0.797204	7	100	Qia	R	Sang
23332839	85.285404	94.212855	40	40	0.196099	0	0.033305	0.026326	0.194743	0.319411	0.769884	0.866498	0.780368	0.71168	0.658964	0.617195	0.581687	0.551377	0.501483	0.461166	0.427318	0.398267	0.373245	0.351358	0.332022	0.83325	8	100	Qia	R	Sof
