density	extraction	digest	swga	min_pair	rep	total_reads	ds_fraction
100	Che	M	Sang	118005886	1	227356890	0.5190336919193432
100	Che	M	Sof	115531174	1	115531174	1
100	Che	R	Sang	95561558	1	95561558	1
100	Che	R	Sof	143063096	1	143063096	1
100	Qia	M	Sang	139311920	1	139311920	1
100	Qia	M	Sof	21993168	1	21993168	1
100	Qia	R	Sang	170486788	1	226878984	0.7514437212042522
100	Qia	R	Sof	110741240	1	114905360	0.963760437285084
1000	Che	M	Sang	115227206	1	143118038	0.8051200785745819
1000	Che	M	Sof	76709566	1	106011094	0.723599418755173
1000	Che	R	Sang	104636582	1	187959578	0.556697259662926
1000	Che	R	Sof	109923920	1	153677594	0.7152891787204841
1000	Qia	M	Sang	135107800	1	148969942	0.9069467181506992
1000	Qia	M	Sof	123149864	1	126950624	0.9700611160446128
1000	Qia	R	Sang	106056828	1	106056828	1
1000	Qia	R	Sof	161242554	1	174177456	0.9257372205505172
100	Che	M	Sang	118005886	2	118005886	1
100	Che	M	Sof	115531174	2	120637356	0.9576732931713126
100	Che	R	Sang	95561558	2	131366580	0.7274419262494312
100	Che	R	Sof	143063096	2	177494358	0.8060148931607167
100	Qia	M	Sang	139311920	2	252213328	0.5523574868335269
100	Qia	M	Sof	21993168	2	144448094	0.15225654690881557
100	Qia	R	Sang	170486788	2	170486788	1
100	Qia	R	Sof	110741240	2	110741240	1
1000	Che	M	Sang	115227206	2	115227206	1
1000	Che	M	Sof	76709566	2	76709566	1
1000	Che	R	Sang	104636582	2	104636582	1
1000	Che	R	Sof	109923920	2	109923920	1
1000	Qia	M	Sang	135107800	2	135107800	1
1000	Qia	M	Sof	123149864	2	123149864	1
1000	Qia	R	Sang	106056828	2	163820436	0.6473968119581858
1000	Qia	R	Sof	161242554	2	161242554	1
