uniq_a	uniq_b	shared	sample_a	sample_b
0	0	25650	1000-Che-M-Sang-1	1000-Che-M-Sang-1
2603	2768	23047	1000-Che-M-Sang-1	1000-Che-M-Sang-2
2675	3214	22975	1000-Che-M-Sang-1	1000-Che-M-Sof-1
3009	2734	22641	1000-Che-M-Sang-1	1000-Che-M-Sof-2
3209	2731	22441	1000-Che-M-Sang-1	1000-Che-R-Sang-1
3101	2828	22549	1000-Che-M-Sang-1	1000-Che-R-Sang-2
2878	3181	22772	1000-Che-M-Sang-1	1000-Che-R-Sof-1
3057	3070	22593	1000-Che-M-Sang-1	1000-Che-R-Sof-2
3763	3057	21887	1000-Che-M-Sang-1	1000-Qia-M-Sang-1
4034	2988	21616	1000-Che-M-Sang-1	1000-Qia-M-Sang-2
3193	3270	22457	1000-Che-M-Sang-1	1000-Qia-M-Sof-1
3389	3285	22261	1000-Che-M-Sang-1	1000-Qia-M-Sof-2
3768	2972	21882	1000-Che-M-Sang-1	1000-Qia-R-Sang-1
3711	3040	21939	1000-Che-M-Sang-1	1000-Qia-R-Sang-2
2816	4190	22834	1000-Che-M-Sang-1	1000-Qia-R-Sof-1
3216	3597	22434	1000-Che-M-Sang-1	1000-Qia-R-Sof-2
4078	2666	21572	1000-Che-M-Sang-1	100-Che-M-Sang-1
4135	2646	21515	1000-Che-M-Sang-1	100-Che-M-Sang-2
2997	3165	22653	1000-Che-M-Sang-1	100-Che-M-Sof-1
24154	940	1496	1000-Che-M-Sang-1	100-Che-M-Sof-2
6302	2319	19348	1000-Che-M-Sang-1	100-Che-R-Sang-1
5422	2408	20228	1000-Che-M-Sang-1	100-Che-R-Sang-2
4093	2972	21557	1000-Che-M-Sang-1	100-Che-R-Sof-1
4381	2750	21269	1000-Che-M-Sang-1	100-Che-R-Sof-2
10625	3026	15025	1000-Che-M-Sang-1	100-Qia-M-Sang-1
10185	2759	15465	1000-Che-M-Sang-1	100-Qia-M-Sang-2
11174	2281	14476	1000-Che-M-Sang-1	100-Qia-M-Sof-1
12261	1954	13389	1000-Che-M-Sang-1	100-Qia-M-Sof-2
8481	2887	17169	1000-Che-M-Sang-1	100-Qia-R-Sang-1
8068	3152	17582	1000-Che-M-Sang-1	100-Qia-R-Sang-2
7906	3369	17744	1000-Che-M-Sang-1	100-Qia-R-Sof-1
8117	3197	17533	1000-Che-M-Sang-1	100-Qia-R-Sof-2
2768	2603	23047	1000-Che-M-Sang-2	1000-Che-M-Sang-1
0	0	25815	1000-Che-M-Sang-2	1000-Che-M-Sang-2
2777	3151	23038	1000-Che-M-Sang-2	1000-Che-M-Sof-1
3077	2637	22738	1000-Che-M-Sang-2	1000-Che-M-Sof-2
3234	2591	22581	1000-Che-M-Sang-2	1000-Che-R-Sang-1
