chr	start	end	count
Pf3D7_01_v3	1	1001	0
Pf3D7_01_v3	3001	4001	1
Pf3D7_01_v3	6001	7001	2
Pf3D7_01_v3	9001	10001	0
Pf3D7_01_v3	12001	13001	0
Pf3D7_01_v3	15001	16001	0
Pf3D7_01_v3	18001	19001	0
Pf3D7_01_v3	21001	22001	0
Pf3D7_01_v3	24001	25001	1
Pf3D7_01_v3	27001	28001	1
Pf3D7_01_v3	30001	31001	8
Pf3D7_01_v3	33001	34001	0
Pf3D7_01_v3	36001	37001	18
Pf3D7_01_v3	39001	40001	82
Pf3D7_01_v3	42001	43001	38
Pf3D7_01_v3	45001	46001	49
Pf3D7_01_v3	48001	49001	4
Pf3D7_01_v3	51001	52001	27
Pf3D7_01_v3	54001	55001	29
Pf3D7_01_v3	57001	58001	85
Pf3D7_01_v3	60001	61001	22
Pf3D7_01_v3	63001	64001	12
Pf3D7_01_v3	66001	67001	3
Pf3D7_01_v3	69001	70001	61
Pf3D7_01_v3	72001	73001	116
Pf3D7_01_v3	75001	76001	115
Pf3D7_01_v3	78001	79001	86
Pf3D7_01_v3	81001	82001	41
Pf3D7_01_v3	84001	85001	57
Pf3D7_01_v3	87001	88001	36
Pf3D7_01_v3	90001	91001	32
Pf3D7_01_v3	93001	94001	58
Pf3D7_01_v3	96001	97001	43
Pf3D7_01_v3	99001	100001	14
Pf3D7_01_v3	102001	103001	20
Pf3D7_01_v3	105001	106001	119
Pf3D7_01_v3	108001	109001	459
Pf3D7_01_v3	111001	112001	202
Pf3D7_01_v3	114001	115001	196
Pf3D7_01_v3	117001	118001	200
Pf3D7_01_v3	120001	121001	277
Pf3D7_01_v3	123001	124001	222
Pf3D7_01_v3	126001	127001	157
Pf3D7_01_v3	129001	130001	401
Pf3D7_01_v3	132001	133001	473
Pf3D7_01_v3	135001	136001	232
Pf3D7_01_v3	138001	139001	290
Pf3D7_01_v3	141001	142001	232
Pf3D7_01_v3	144001	145001	922
Pf3D7_01_v3	147001	148001	1528
Pf3D7_01_v3	150001	151001	366
Pf3D7_01_v3	153001	154001	280
Pf3D7_01_v3	156001	157001	244
Pf3D7_01_v3	159001	160001	397
Pf3D7_01_v3	162001	163001	261
Pf3D7_01_v3	165001	166001	1055
Pf3D7_01_v3	168001	169001	587
Pf3D7_01_v3	171001	172001	278
Pf3D7_01_v3	174001	175001	294
Pf3D7_01_v3	177001	178001	216
Pf3D7_01_v3	180001	181001	131
Pf3D7_01_v3	183001	184001	346
Pf3D7_01_v3	186001	187001	621
Pf3D7_01_v3	189001	190001	316
Pf3D7_01_v3	192001	193001	602
Pf3D7_01_v3	195001	196001	949
Pf3D7_01_v3	198001	199001	593
Pf3D7_01_v3	201001	202001	359
Pf3D7_01_v3	204001	205001	176
Pf3D7_01_v3	207001	208001	132
Pf3D7_01_v3	210001	211001	387
Pf3D7_01_v3	213001	214001	341
Pf3D7_01_v3	216001	217001	338
Pf3D7_01_v3	219001	220001	695
Pf3D7_01_v3	222001	223001	285
Pf3D7_01_v3	225001	226001	241
Pf3D7_01_v3	228001	229001	167
Pf3D7_01_v3	231001	232001	521
Pf3D7_01_v3	234001	235001	573
Pf3D7_01_v3	237001	238001	210
Pf3D7_01_v3	240001	241001	187
Pf3D7_01_v3	243001	244001	384
Pf3D7_01_v3	246001	247001	798
Pf3D7_01_v3	249001	250001	1028
Pf3D7_01_v3	252001	253001	703
Pf3D7_01_v3	255001	256001	454
Pf3D7_01_v3	258001	259001	543
Pf3D7_01_v3	261001	262001	242
Pf3D7_01_v3	264001	265001	172
Pf3D7_01_v3	267001	268001	100
Pf3D7_01_v3	270001	271001	125
Pf3D7_01_v3	273001	274001	102
Pf3D7_01_v3	276001	277001	406
Pf3D7_01_v3	279001	280001	822
Pf3D7_01_v3	282001	283001	572
Pf3D7_01_v3	285001	286001	895
Pf3D7_01_v3	288001	289001	707
Pf3D7_01_v3	291001	292001	981
Pf3D7_01_v3	294001	295001	1859
Pf3D7_01_v3	297001	298001	988
Pf3D7_01_v3	300001	301001	196
Pf3D7_01_v3	303001	304001	126
Pf3D7_01_v3	306001	307001	191
Pf3D7_01_v3	309001	310001	313
Pf3D7_01_v3	312001	313001	123
Pf3D7_01_v3	315001	316001	408
Pf3D7_01_v3	318001	319001	2027
Pf3D7_01_v3	321001	322001	2435
Pf3D7_01_v3	324001	325001	1794
Pf3D7_01_v3	327001	328001	2234
Pf3D7_01_v3	330001	331001	510
Pf3D7_01_v3	333001	334001	149
Pf3D7_01_v3	336001	337001	42
Pf3D7_01_v3	339001	340001	93
Pf3D7_01_v3	342001	343001	409
Pf3D7_01_v3	345001	346001	550
Pf3D7_01_v3	348001	349001	221
Pf3D7_01_v3	351001	352001	220
Pf3D7_01_v3	354001	355001	783
Pf3D7_01_v3	357001	358001	567
Pf3D7_01_v3	360001	361001	407
Pf3D7_01_v3	363001	364001	333
Pf3D7_01_v3	366001	367001	130
Pf3D7_01_v3	369001	370001	95
Pf3D7_01_v3	372001	373001	160
Pf3D7_01_v3	375001	376001	433
Pf3D7_01_v3	378001	379001	587
Pf3D7_01_v3	381001	382001	497
Pf3D7_01_v3	384001	385001	491
Pf3D7_01_v3	387001	388001	334
Pf3D7_01_v3	390001	391001	248
Pf3D7_01_v3	393001	394001	173
Pf3D7_01_v3	396001	397001	175
Pf3D7_01_v3	399001	400001	259
Pf3D7_01_v3	402001	403001	266
Pf3D7_01_v3	405001	406001	418
Pf3D7_01_v3	408001	409001	856
Pf3D7_01_v3	411001	412001	706
Pf3D7_01_v3	414001	415001	470
Pf3D7_01_v3	417001	418001	90
Pf3D7_01_v3	420001	421001	139
Pf3D7_01_v3	423001	424001	241
Pf3D7_01_v3	426001	427001	292
Pf3D7_01_v3	429001	430001	132
Pf3D7_01_v3	432001	433001	168
Pf3D7_01_v3	435001	436001	368
Pf3D7_01_v3	438001	439001	651
Pf3D7_01_v3	441001	442001	1055
Pf3D7_01_v3	444001	445001	1359
Pf3D7_01_v3	447001	448001	2052
Pf3D7_01_v3	450001	451001	2178
Pf3D7_01_v3	453001	454001	532
Pf3D7_01_v3	456001	457001	75
Pf3D7_01_v3	459001	460001	57
Pf3D7_01_v3	462001	463001	84
Pf3D7_01_v3	465001	466001	122
Pf3D7_01_v3	468001	469001	132
Pf3D7_01_v3	471001	472001	87
Pf3D7_01_v3	474001	475001	24
Pf3D7_01_v3	477001	478001	15
Pf3D7_01_v3	480001	481001	3
Pf3D7_01_v3	483001	484001	53
Pf3D7_01_v3	486001	487001	178
Pf3D7_01_v3	489001	490001	414
Pf3D7_01_v3	492001	493001	162
Pf3D7_01_v3	495001	496001	245
Pf3D7_01_v3	498001	499001	186
Pf3D7_01_v3	501001	502001	226
Pf3D7_01_v3	504001	505001	456
Pf3D7_01_v3	507001	508001	202
Pf3D7_01_v3	510001	511001	99
Pf3D7_01_v3	513001	514001	45
Pf3D7_01_v3	516001	517001	72
Pf3D7_01_v3	519001	520001	626
Pf3D7_01_v3	522001	523001	683
Pf3D7_01_v3	525001	526001	1082
Pf3D7_01_v3	528001	529001	528
Pf3D7_01_v3	531001	532001	96
Pf3D7_01_v3	534001	535001	42
Pf3D7_01_v3	537001	538001	86
Pf3D7_01_v3	540001	541001	109
Pf3D7_01_v3	543001	544001	83
Pf3D7_01_v3	546001	547001	28
Pf3D7_01_v3	549001	550001	194
Pf3D7_01_v3	552001	553001	251
Pf3D7_01_v3	555001	556001	477
Pf3D7_01_v3	558001	559001	289
Pf3D7_01_v3	561001	562001	136
Pf3D7_01_v3	564001	565001	130
Pf3D7_01_v3	567001	568001	220
Pf3D7_01_v3	570001	571001	538
Pf3D7_01_v3	573001	574001	1382
Pf3D7_01_v3	576001	577001	622
Pf3D7_01_v3	579001	580001	103
Pf3D7_01_v3	582001	583001	62
Pf3D7_01_v3	585001	586001	151
Pf3D7_01_v3	588001	589001	171
Pf3D7_01_v3	591001	592001	238
Pf3D7_01_v3	594001	595001	62
Pf3D7_01_v3	597001	598001	18
Pf3D7_01_v3	600001	601001	40
Pf3D7_01_v3	603001	604001	20
Pf3D7_01_v3	606001	607001	41
Pf3D7_01_v3	609001	610001	82
Pf3D7_01_v3	612001	613001	2
Pf3D7_01_v3	615001	616001	0
Pf3D7_01_v3	618001	619001	8
Pf3D7_01_v3	621001	622001	0
Pf3D7_01_v3	624001	625001	0
Pf3D7_01_v3	627001	628001	0
Pf3D7_01_v3	630001	631001	0
Pf3D7_01_v3	633001	634001	0
Pf3D7_01_v3	636001	637001	0
Pf3D7_01_v3	639001	640001	0
Pf3D7_01_v3	640851	641851	0
Pf3D7_02_v3	1	1001	0
Pf3D7_02_v3	3001	4001	0
Pf3D7_02_v3	6001	7001	2
Pf3D7_02_v3	9001	10001	1
Pf3D7_02_v3	12001	13001	1
Pf3D7_02_v3	15001	16001	0
Pf3D7_02_v3	18001	19001	0
Pf3D7_02_v3	21001	22001	0
Pf3D7_02_v3	24001	25001	1
Pf3D7_02_v3	27001	28001	1
Pf3D7_02_v3	30001	31001	14
Pf3D7_02_v3	33001	34001	80
Pf3D7_02_v3	36001	37001	32
Pf3D7_02_v3	39001	40001	38
Pf3D7_02_v3	42001	43001	9
Pf3D7_02_v3	45001	46001	80
Pf3D7_02_v3	48001	49001	41
Pf3D7_02_v3	51001	52001	41
Pf3D7_02_v3	54001	55001	38
Pf3D7_02_v3	57001	58001	45
Pf3D7_02_v3	60001	61001	101
Pf3D7_02_v3	63001	64001	77
Pf3D7_02_v3	66001	67001	68
Pf3D7_02_v3	69001	70001	162
Pf3D7_02_v3	72001	73001	302
Pf3D7_02_v3	75001	76001	162
Pf3D7_02_v3	78001	79001	78
Pf3D7_02_v3	81001	82001	44
Pf3D7_02_v3	84001	85001	78
Pf3D7_02_v3	87001	88001	122
Pf3D7_02_v3	90001	91001	237
Pf3D7_02_v3	93001	94001	43
Pf3D7_02_v3	96001	97001	1
Pf3D7_02_v3	99001	100001	24
Pf3D7_02_v3	102001	103001	165
Pf3D7_02_v3	105001	106001	149
Pf3D7_02_v3	108001	109001	71
Pf3D7_02_v3	111001	112001	117
Pf3D7_02_v3	114001	115001	133
Pf3D7_02_v3	117001	118001	231
Pf3D7_02_v3	120001	121001	263
Pf3D7_02_v3	123001	124001	162
Pf3D7_02_v3	126001	127001	87
Pf3D7_02_v3	129001	130001	108
Pf3D7_02_v3	132001	133001	305
Pf3D7_02_v3	135001	136001	230
Pf3D7_02_v3	138001	139001	346
Pf3D7_02_v3	141001	142001	265
Pf3D7_02_v3	144001	145001	151
Pf3D7_02_v3	147001	148001	68
Pf3D7_02_v3	150001	151001	92
Pf3D7_02_v3	153001	154001	163
Pf3D7_02_v3	156001	157001	213
Pf3D7_02_v3	159001	160001	232
Pf3D7_02_v3	162001	163001	153
Pf3D7_02_v3	165001	166001	150
Pf3D7_02_v3	168001	169001	891
Pf3D7_02_v3	171001	172001	399
Pf3D7_02_v3	174001	175001	107
Pf3D7_02_v3	177001	178001	181
Pf3D7_02_v3	180001	181001	449
Pf3D7_02_v3	183001	184001	626
Pf3D7_02_v3	186001	187001	688
Pf3D7_02_v3	189001	190001	515
Pf3D7_02_v3	192001	193001	521
Pf3D7_02_v3	195001	196001	450
Pf3D7_02_v3	198001	199001	326
Pf3D7_02_v3	201001	202001	136
Pf3D7_02_v3	204001	205001	254
Pf3D7_02_v3	207001	208001	112
Pf3D7_02_v3	210001	211001	98
Pf3D7_02_v3	213001	214001	237
Pf3D7_02_v3	216001	217001	505
Pf3D7_02_v3	219001	220001	388
Pf3D7_02_v3	222001	223001	797
Pf3D7_02_v3	225001	226001	435
Pf3D7_02_v3	228001	229001	186
Pf3D7_02_v3	231001	232001	322
Pf3D7_02_v3	234001	235001	126
Pf3D7_02_v3	237001	238001	105
Pf3D7_02_v3	240001	241001	230
Pf3D7_02_v3	243001	244001	350
Pf3D7_02_v3	246001	247001	211
Pf3D7_02_v3	249001	250001	157
Pf3D7_02_v3	252001	253001	218
Pf3D7_02_v3	255001	256001	410
Pf3D7_02_v3	258001	259001	1420
Pf3D7_02_v3	261001	262001	2081
Pf3D7_02_v3	264001	265001	1746
Pf3D7_02_v3	267001	268001	886
Pf3D7_02_v3	270001	271001	218
Pf3D7_02_v3	273001	274001	215
Pf3D7_02_v3	276001	277001	193
Pf3D7_02_v3	279001	280001	275
Pf3D7_02_v3	282001	283001	154
Pf3D7_02_v3	285001	286001	242
Pf3D7_02_v3	288001	289001	89
Pf3D7_02_v3	291001	292001	69
Pf3D7_02_v3	294001	295001	66
Pf3D7_02_v3	297001	298001	67
Pf3D7_02_v3	300001	301001	52
Pf3D7_02_v3	303001	304001	51
Pf3D7_02_v3	306001	307001	53
Pf3D7_02_v3	309001	310001	24
Pf3D7_02_v3	312001	313001	15
Pf3D7_02_v3	315001	316001	6
Pf3D7_02_v3	318001	319001	7
Pf3D7_02_v3	321001	322001	23
Pf3D7_02_v3	324001	325001	158
Pf3D7_02_v3	327001	328001	223
Pf3D7_02_v3	330001	331001	133
Pf3D7_02_v3	333001	334001	318
Pf3D7_02_v3	336001	337001	700
Pf3D7_02_v3	339001	340001	590
Pf3D7_02_v3	342001	343001	1727
Pf3D7_02_v3	345001	346001	3457
Pf3D7_02_v3	348001	349001	2910
Pf3D7_02_v3	351001	352001	1259
Pf3D7_02_v3	354001	355001	183
Pf3D7_02_v3	357001	358001	272
Pf3D7_02_v3	360001	361001	217
Pf3D7_02_v3	363001	364001	136
Pf3D7_02_v3	366001	367001	128
Pf3D7_02_v3	369001	370001	137
Pf3D7_02_v3	372001	373001	30
Pf3D7_02_v3	375001	376001	30
Pf3D7_02_v3	378001	379001	68
Pf3D7_02_v3	381001	382001	140
Pf3D7_02_v3	384001	385001	113
Pf3D7_02_v3	387001	388001	39
Pf3D7_02_v3	390001	391001	69
Pf3D7_02_v3	393001	394001	168
Pf3D7_02_v3	396001	397001	156
Pf3D7_02_v3	399001	400001	290
Pf3D7_02_v3	402001	403001	234
Pf3D7_02_v3	405001	406001	52
Pf3D7_02_v3	408001	409001	35
Pf3D7_02_v3	411001	412001	76
Pf3D7_02_v3	414001	415001	146
Pf3D7_02_v3	417001	418001	202
Pf3D7_02_v3	420001	421001	144
Pf3D7_02_v3	423001	424001	61
Pf3D7_02_v3	426001	427001	108
Pf3D7_02_v3	429001	430001	190
Pf3D7_02_v3	432001	433001	334
Pf3D7_02_v3	435001	436001	299
Pf3D7_02_v3	438001	439001	770
Pf3D7_02_v3	441001	442001	442
Pf3D7_02_v3	444001	445001	104
Pf3D7_02_v3	447001	448001	13
Pf3D7_02_v3	450001	451001	14
Pf3D7_02_v3	453001	454001	56
Pf3D7_02_v3	456001	457001	215
Pf3D7_02_v3	459001	460001	165
Pf3D7_02_v3	462001	463001	131
Pf3D7_02_v3	465001	466001	235
Pf3D7_02_v3	468001	469001	362
Pf3D7_02_v3	471001	472001	253
Pf3D7_02_v3	474001	475001	348
Pf3D7_02_v3	477001	478001	395
Pf3D7_02_v3	480001	481001	282
Pf3D7_02_v3	483001	484001	112
Pf3D7_02_v3	486001	487001	131
Pf3D7_02_v3	489001	490001	193
Pf3D7_02_v3	492001	493001	47
Pf3D7_02_v3	495001	496001	50
Pf3D7_02_v3	498001	499001	376
Pf3D7_02_v3	501001	502001	597
Pf3D7_02_v3	504001	505001	526
Pf3D7_02_v3	507001	508001	276
Pf3D7_02_v3	510001	511001	101
Pf3D7_02_v3	513001	514001	216
Pf3D7_02_v3	516001	517001	375
Pf3D7_02_v3	519001	520001	492
Pf3D7_02_v3	522001	523001	440
Pf3D7_02_v3	525001	526001	309
Pf3D7_02_v3	528001	529001	249
Pf3D7_02_v3	531001	532001	139
Pf3D7_02_v3	534001	535001	131
Pf3D7_02_v3	537001	538001	352
Pf3D7_02_v3	540001	541001	700
Pf3D7_02_v3	543001	544001	351
Pf3D7_02_v3	546001	547001	402
Pf3D7_02_v3	549001	550001	247
Pf3D7_02_v3	552001	553001	597
Pf3D7_02_v3	555001	556001	479
Pf3D7_02_v3	558001	559001	186
Pf3D7_02_v3	561001	562001	323
Pf3D7_02_v3	564001	565001	656
Pf3D7_02_v3	567001	568001	353
Pf3D7_02_v3	570001	571001	365
Pf3D7_02_v3	573001	574001	237
Pf3D7_02_v3	576001	577001	39
Pf3D7_02_v3	579001	580001	50
Pf3D7_02_v3	582001	583001	225
Pf3D7_02_v3	585001	586001	240
Pf3D7_02_v3	588001	589001	736
Pf3D7_02_v3	591001	592001	527
Pf3D7_02_v3	594001	595001	263
Pf3D7_02_v3	597001	598001	418
Pf3D7_02_v3	600001	601001	530
Pf3D7_02_v3	603001	604001	466
Pf3D7_02_v3	606001	607001	382
Pf3D7_02_v3	609001	610001	870
Pf3D7_02_v3	612001	613001	409
Pf3D7_02_v3	615001	616001	361
Pf3D7_02_v3	618001	619001	496
Pf3D7_02_v3	621001	622001	234
Pf3D7_02_v3	624001	625001	74
Pf3D7_02_v3	627001	628001	71
Pf3D7_02_v3	630001	631001	174
Pf3D7_02_v3	633001	634001	229
Pf3D7_02_v3	636001	637001	747
Pf3D7_02_v3	639001	640001	1077
Pf3D7_02_v3	642001	643001	1860
Pf3D7_02_v3	645001	646001	1463
Pf3D7_02_v3	648001	649001	227
Pf3D7_02_v3	651001	652001	429
Pf3D7_02_v3	654001	655001	596
Pf3D7_02_v3	657001	658001	865
Pf3D7_02_v3	660001	661001	337
Pf3D7_02_v3	663001	664001	340
Pf3D7_02_v3	666001	667001	1553
Pf3D7_02_v3	669001	670001	1526
Pf3D7_02_v3	672001	673001	917
Pf3D7_02_v3	675001	676001	1078
Pf3D7_02_v3	678001	679001	774
Pf3D7_02_v3	681001	682001	699
Pf3D7_02_v3	684001	685001	1821
Pf3D7_02_v3	687001	688001	1109
Pf3D7_02_v3	690001	691001	1062
Pf3D7_02_v3	693001	694001	138
Pf3D7_02_v3	696001	697001	160
Pf3D7_02_v3	699001	700001	224
Pf3D7_02_v3	702001	703001	270
Pf3D7_02_v3	705001	706001	656
Pf3D7_02_v3	708001	709001	487
Pf3D7_02_v3	711001	712001	735
Pf3D7_02_v3	714001	715001	1009
Pf3D7_02_v3	717001	718001	365
Pf3D7_02_v3	720001	721001	198
Pf3D7_02_v3	723001	724001	522
Pf3D7_02_v3	726001	727001	497
Pf3D7_02_v3	729001	730001	252
Pf3D7_02_v3	732001	733001	193
Pf3D7_02_v3	735001	736001	127
Pf3D7_02_v3	738001	739001	185
Pf3D7_02_v3	741001	742001	371
Pf3D7_02_v3	744001	745001	1186
Pf3D7_02_v3	747001	748001	1840
Pf3D7_02_v3	750001	751001	527
Pf3D7_02_v3	753001	754001	667
Pf3D7_02_v3	756001	757001	686
Pf3D7_02_v3	759001	760001	1678
Pf3D7_02_v3	762001	763001	687
Pf3D7_02_v3	765001	766001	582
Pf3D7_02_v3	768001	769001	137
Pf3D7_02_v3	771001	772001	109
Pf3D7_02_v3	774001	775001	129
Pf3D7_02_v3	777001	778001	178
Pf3D7_02_v3	780001	781001	243
Pf3D7_02_v3	783001	784001	258
Pf3D7_02_v3	786001	787001	138
Pf3D7_02_v3	789001	790001	121
Pf3D7_02_v3	792001	793001	137
Pf3D7_02_v3	795001	796001	135
Pf3D7_02_v3	798001	799001	25
Pf3D7_02_v3	801001	802001	13
Pf3D7_02_v3	804001	805001	46
Pf3D7_02_v3	807001	808001	188
Pf3D7_02_v3	810001	811001	179
Pf3D7_02_v3	813001	814001	156
Pf3D7_02_v3	816001	817001	406
Pf3D7_02_v3	819001	820001	561
Pf3D7_02_v3	822001	823001	1452
Pf3D7_02_v3	825001	826001	1717
Pf3D7_02_v3	828001	829001	440
Pf3D7_02_v3	831001	832001	478
Pf3D7_02_v3	834001	835001	301
Pf3D7_02_v3	837001	838001	273
Pf3D7_02_v3	840001	841001	235
Pf3D7_02_v3	843001	844001	212
Pf3D7_02_v3	846001	847001	215
Pf3D7_02_v3	849001	850001	88
Pf3D7_02_v3	852001	853001	65
Pf3D7_02_v3	855001	856001	31
Pf3D7_02_v3	858001	859001	66
Pf3D7_02_v3	861001	862001	94
Pf3D7_02_v3	864001	865001	165
Pf3D7_02_v3	867001	868001	423
Pf3D7_02_v3	870001	871001	865
Pf3D7_02_v3	873001	874001	653
Pf3D7_02_v3	876001	877001	396
Pf3D7_02_v3	879001	880001	120
Pf3D7_02_v3	882001	883001	119
Pf3D7_02_v3	885001	886001	117
Pf3D7_02_v3	888001	889001	58
Pf3D7_02_v3	891001	892001	42
Pf3D7_02_v3	894001	895001	62
Pf3D7_02_v3	897001	898001	36
Pf3D7_02_v3	900001	901001	10
Pf3D7_02_v3	903001	904001	30
Pf3D7_02_v3	906001	907001	66
Pf3D7_02_v3	909001	910001	82
Pf3D7_02_v3	912001	913001	41
