chrom	start	end	regionType
01	1	27336	SubtelomericRepeat
01	27337	92900	SubtelomericHypervariable
01	92901	457931	Core
01	457932	460311	Centromere
01	460312	575900	Core
01	575901	616691	SubtelomericHypervariable
01	616692	640851	SubtelomericRepeat
02	1	23100	SubtelomericRepeat
02	23101	105800	SubtelomericHypervariable
02	105801	447300	Core
02	447301	450450	Centromere
02	450451	862500	Core
02	862501	925850	SubtelomericHypervariable
02	925851	947102	SubtelomericRepeat
03	1	34268	SubtelomericRepeat
03	34269	70630	SubtelomericHypervariable
03	70631	597816	Core
03	597817	600275	Centromere
03	600276	1003060	Core
03	1003061	1040961	SubtelomericHypervariable
03	1040962	1067971	SubtelomericRepeat
04	1	26511	SubtelomericRepeat
04	26512	91420	SubtelomericHypervariable
04	91421	545800	Core
04	545801	614900	InternalHypervariable
04	614901	642003	Core
04	642004	644529	Centromere
04	644530	935030	Core
04	935031	983080	InternalHypervariable
04	983081	1143990	Core
04	1143991	1182297	SubtelomericHypervariable
04	1182298	1200490	SubtelomericRepeat
05	1	18750	SubtelomericRepeat
05	18751	37900	SubtelomericHypervariable
05	37901	455740	Core
05	455741	457252	Centromere
05	457253	1321390	Core
05	1321391	1342974	SubtelomericHypervariable
05	1342975	1343577	SubtelomericRepeat
06	1	610	SubtelomericRepeat
06	611	72350	SubtelomericHypervariable
06	72351	478652	Core
06	478653	480971	Centromere
06	480972	723117	Core
06	723118	742800	InternalHypervariable
06	742801	1294830	Core
06	1294831	1384651	SubtelomericHypervariable
06	1384652	1418242	SubtelomericRepeat
07	1	18000	SubtelomericRepeat
07	18001	77100	SubtelomericHypervariable
07	77101	508360	Core
07	508361	605650	InternalHypervariable
07	605651	809245	Core
07	809246	811716	Centromere
07	811717	1381600	Core
07	1381601	1428410	SubtelomericHypervariable
07	1428411	1445207	SubtelomericRepeat
08	1	19100	SubtelomericRepeat
08	19101	73560	SubtelomericHypervariable
08	73561	299079	Core
08	299080	301403	Centromere
08	301404	427430	Core
08	427431	467340	InternalHypervariable
08	467341	1365730	Core
08	1365731	1445690	SubtelomericHypervariable
08	1445691	1472805	SubtelomericRepeat
09	1	17955	SubtelomericRepeat
09	17956	79100	SubtelomericHypervariable
09	79101	1242137	Core
09	1242138	1244483	Centromere
09	1244484	1473560	Core
09	1473561	1505792	SubtelomericHypervariable
09	1505793	1541735	SubtelomericRepeat
10	1	26240	SubtelomericRepeat
10	26241	68970	SubtelomericHypervariable
10	68971	1571815	Core
10	1571816	1652190	SubtelomericHypervariable
10	1652191	1687656	SubtelomericRepeat
11	1	21990	SubtelomericRepeat
11	21991	110000	SubtelomericHypervariable
11	110001	831968	Core
11	831969	834245	Centromere
11	834246	2003320	Core
11	2003321	2037033	SubtelomericHypervariable
11	2037034	2038340	SubtelomericRepeat
12	1	14780	SubtelomericRepeat
12	14781	60300	SubtelomericHypervariable
12	60301	766654	Core
12	766655	780450	InternalHypervariable
12	780451	1282773	Core
12	1282774	1285067	Centromere
12	1285068	1688600	Core
12	1688601	1745530	InternalHypervariable
12	1745531	2163700	Core
12	2163701	2251150	SubtelomericHypervariable
12	2251151	2271494	SubtelomericRepeat
13	1	19160	SubtelomericRepeat
13	19161	74413	SubtelomericHypervariable
13	74414	1168127	Core
13	1168128	1170425	Centromere
13	1170426	2791900	Core
13	2791901	2894620	SubtelomericHypervariable
13	2894621	2925236	SubtelomericRepeat
14	1	1344	SubtelomericRepeat
14	1345	35774	SubtelomericHypervariable
14	35775	1071523	Core
14	1071524	1075089	Centromere
14	1075090	3255710	Core
14	3255711	3291511	SubtelomericHypervariable
14	3291512	3291936	SubtelomericRepeat
