chrom	start	end	direction	depth	sample	totalCoverage
Pf3D7_01_v3	114472	114559	rev	0	xV04	FALSE
Pf3D7_01_v3	114472	114559	rev	0	xV05	FALSE
Pf3D7_01_v3	114472	114559	rev	1	xV03	FALSE
Pf3D7_01_v3	114472	114559	rev	36	xV06	FALSE
Pf3D7_01_v3	114472	114559	rev	40	xV02	FALSE
Pf3D7_01_v3	114472	114559	rev	9	xV01	FALSE
Pf3D7_01_v3	145514	145560	rev	215	xV06	FALSE
Pf3D7_01_v3	145514	145560	rev	223	xV01	FALSE
Pf3D7_01_v3	145514	145560	rev	287	xV03	FALSE
Pf3D7_01_v3	145514	145560	rev	400	xV02	FALSE
Pf3D7_01_v3	145514	145560	rev	413	xV04	FALSE
Pf3D7_01_v3	145514	145560	rev	514	xV05	FALSE
Pf3D7_01_v3	162383	162473	for	2670	xV06	FALSE
Pf3D7_01_v3	162383	162473	for	363	xV04	FALSE
Pf3D7_01_v3	162383	162473	for	401	xV05	FALSE
Pf3D7_01_v3	162383	162473	for	507	xV02	FALSE
Pf3D7_01_v3	162383	162473	for	515	xV01	FALSE
Pf3D7_01_v3	162383	162473	for	715	xV03	FALSE
Pf3D7_01_v3	179912	180042	for	0	xV01	FALSE
Pf3D7_01_v3	179912	180042	for	0	xV04	FALSE
Pf3D7_01_v3	179912	180042	for	19	xV05	FALSE
Pf3D7_01_v3	179912	180042	for	235	xV06	FALSE
Pf3D7_01_v3	179912	180042	for	41	xV02	FALSE
Pf3D7_01_v3	179912	180042	for	50	xV03	FALSE
Pf3D7_01_v3	181574	181659	for	332	xV02	FALSE
Pf3D7_01_v3	181574	181659	for	476	xV04	FALSE
Pf3D7_01_v3	181574	181659	for	583	xV01	FALSE
Pf3D7_01_v3	181574	181659	for	599	xV03	FALSE
Pf3D7_01_v3	181574	181659	for	661	xV05	FALSE
Pf3D7_01_v3	181574	181659	for	731	xV06	FALSE
Pf3D7_01_v3	269131	269190	rev	0	xV03	FALSE
Pf3D7_01_v3	269131	269190	rev	0	xV05	FALSE
Pf3D7_01_v3	269131	269190	rev	16	xV02	FALSE
Pf3D7_01_v3	269131	269190	rev	27	xV06	FALSE
Pf3D7_01_v3	269131	269190	rev	4	xV04	FALSE
Pf3D7_01_v3	269131	269190	rev	60	xV01	FALSE
Pf3D7_01_v3	486919	487057	for	1114	xV01	FALSE
Pf3D7_01_v3	486919	487057	for	1631	xV06	FALSE
Pf3D7_01_v3	486919	487057	for	2206	xV03	FALSE
Pf3D7_01_v3	486919	487057	for	537	xV04	FALSE
Pf3D7_01_v3	486919	487057	for	550	xV05	FALSE
Pf3D7_01_v3	486919	487057	for	975	xV02	FALSE
Pf3D7_01_v3	495993	496120	for	32	xV03	FALSE
Pf3D7_01_v3	495993	496120	for	36	xV02	FALSE
Pf3D7_01_v3	495993	496120	for	40	xV01	FALSE
Pf3D7_01_v3	495993	496120	for	5	xV04	FALSE
Pf3D7_01_v3	495993	496120	for	5	xV06	FALSE
Pf3D7_01_v3	495993	496120	for	99	xV05	FALSE
Pf3D7_01_v3	512242	512383	for	0	xV04	FALSE
Pf3D7_01_v3	512242	512383	for	123	xV01	FALSE
Pf3D7_01_v3	512242	512383	for	146	xV02	FALSE
Pf3D7_01_v3	512242	512383	for	19	xV06	FALSE
Pf3D7_01_v3	512242	512383	for	4	xV05	FALSE
Pf3D7_01_v3	512242	512383	for	56	xV03	FALSE
Pf3D7_01_v3	516176	516312	for	26	xV05	FALSE
Pf3D7_01_v3	516176	516312	for	34	xV03	FALSE
Pf3D7_01_v3	516176	516312	for	44	xV04	FALSE
Pf3D7_01_v3	516176	516312	for	62	xV02	FALSE
Pf3D7_01_v3	516176	516312	for	64	xV01	FALSE
Pf3D7_01_v3	516176	516312	for	97	xV06	FALSE
Pf3D7_01_v3	531734	531875	for	0	xV03	FALSE
Pf3D7_01_v3	531734	531875	for	0	xV05	FALSE
Pf3D7_01_v3	531734	531875	for	1	xV01	FALSE
Pf3D7_01_v3	531734	531875	for	30	xV02	FALSE
Pf3D7_01_v3	531734	531875	for	36	xV06	FALSE
Pf3D7_01_v3	531734	531875	for	49	xV04	FALSE
Pf3D7_01_v3	532712	532799	for	126	xV05	FALSE
Pf3D7_01_v3	532712	532799	for	26	xV04	FALSE
Pf3D7_01_v3	532712	532799	for	28	xV02	FALSE
Pf3D7_01_v3	532712	532799	for	28	xV03	FALSE
Pf3D7_01_v3	532712	532799	for	54	xV06	FALSE
Pf3D7_01_v3	532712	532799	for	56	xV01	FALSE
Pf3D7_01_v3	534235	534360	for	181	xV06	FALSE
Pf3D7_01_v3	534235	534360	for	251	xV04	FALSE
Pf3D7_01_v3	534235	534360	for	275	xV01	FALSE
Pf3D7_01_v3	534235	534360	for	328	xV03	FALSE
Pf3D7_01_v3	534235	534360	for	67	xV05	FALSE
Pf3D7_01_v3	534235	534360	for	89	xV02	FALSE
Pf3D7_01_v3	534945	535099	for	138	xV06	FALSE
Pf3D7_01_v3	534945	535099	for	20	xV01	FALSE
Pf3D7_01_v3	534945	535099	for	27	xV03	FALSE
Pf3D7_01_v3	534945	535099	for	4	xV04	FALSE
Pf3D7_01_v3	534945	535099	for	71	xV05	FALSE
Pf3D7_01_v3	534945	535099	for	9	xV02	FALSE
Pf3D7_02_v3	109811	109977	rev	150	xV05	FALSE
Pf3D7_02_v3	109811	109977	rev	22	xV01	FALSE
Pf3D7_02_v3	109811	109977	rev	3	xV04	FALSE
Pf3D7_02_v3	109811	109977	rev	6	xV06	FALSE
Pf3D7_02_v3	109811	109977	rev	8	xV02	FALSE
Pf3D7_02_v3	109811	109977	rev	95	xV03	FALSE
Pf3D7_02_v3	198775	198899	rev	0	xV03	FALSE
Pf3D7_02_v3	198775	198899	rev	0	xV04	FALSE
Pf3D7_02_v3	198775	198899	rev	0	xV05	FALSE
Pf3D7_02_v3	198775	198899	rev	0	xV06	FALSE
Pf3D7_02_v3	198775	198899	rev	38	xV01	FALSE
Pf3D7_02_v3	198775	198899	rev	3	xV02	FALSE
Pf3D7_02_v3	278214	278324	rev	0	xV05	FALSE
Pf3D7_02_v3	278214	278324	rev	0	xV06	FALSE
Pf3D7_02_v3	278214	278324	rev	18	xV03	FALSE
Pf3D7_02_v3	278214	278324	rev	32	xV01	FALSE
Pf3D7_02_v3	278214	278324	rev	33	xV02	FALSE
Pf3D7_02_v3	278214	278324	rev	4	xV04	FALSE
Pf3D7_02_v3	291830	291979	rev	0	xV04	FALSE
Pf3D7_02_v3	291830	291979	rev	39	xV06	FALSE
Pf3D7_02_v3	291830	291979	rev	45	xV02	FALSE
Pf3D7_02_v3	291830	291979	rev	46	xV03	FALSE
Pf3D7_02_v3	291830	291979	rev	78	xV01	FALSE
Pf3D7_02_v3	291830	291979	rev	78	xV05	FALSE
Pf3D7_02_v3	299207	299375	rev	0	xV01	FALSE
Pf3D7_02_v3	299207	299375	rev	0	xV04	FALSE
Pf3D7_02_v3	299207	299375	rev	0	xV05	FALSE
Pf3D7_02_v3	299207	299375	rev	127	xV06	FALSE
Pf3D7_02_v3	299207	299375	rev	44	xV03	FALSE
Pf3D7_02_v3	299207	299375	rev	5	xV02	FALSE
Pf3D7_02_v3	374184	374366	for	0	xV01	FALSE
Pf3D7_02_v3	374184	374366	for	0	xV05	FALSE
Pf3D7_02_v3	374184	374366	for	0	xV06	FALSE
Pf3D7_02_v3	374184	374366	for	129	xV03	FALSE
Pf3D7_02_v3	374184	374366	for	12	xV04	FALSE
Pf3D7_02_v3	374184	374366	for	4	xV02	FALSE
Pf3D7_02_v3	415026	415173	rev	0	xV01	FALSE
Pf3D7_02_v3	415026	415173	rev	0	xV04	FALSE
Pf3D7_02_v3	415026	415173	rev	106	xV06	FALSE
Pf3D7_02_v3	415026	415173	rev	206	xV02	FALSE
Pf3D7_02_v3	415026	415173	rev	27	xV05	FALSE
Pf3D7_02_v3	415026	415173	rev	53	xV03	FALSE
Pf3D7_02_v3	438688	438713	rev	1069	xV02	FALSE
Pf3D7_02_v3	438688	438713	rev	272	xV06	FALSE
Pf3D7_02_v3	438688	438713	rev	418	xV04	FALSE
Pf3D7_02_v3	438688	438713	rev	593	xV01	FALSE
Pf3D7_02_v3	438688	438713	rev	629	xV05	FALSE
Pf3D7_02_v3	438688	438713	rev	761	xV03	FALSE
Pf3D7_02_v3	470576	470675	for	0	xV06	FALSE
